Keyword,Answer
Inpatient Psychiatric Care,"Inpatient Psychiatric CareIn December 2015, an expert panel released 11 consensus statements on best practices for inpatient care of children withASD. The panel recommends that children with ASD or intellectual disability (ID) can be treated in general inpatientpsychiatric units, with specific accommodations. The recommendations also set out the information that should be obtainedfrom children on admission, including the child's preferences, means of communication, reinforcement items, and sensorysensitivities. Also emphasized is the importance of screening for co-occurring medical and psychiatric conditions.[160]"
Special Education,"Special EducationSpecial education is central to the treatment of ASD. Although parents may choose to use various experimental treatments,including medication, they should concurrently use intensive individual special education by an educator familiar withinstructing children who have ASD or a related condition. Intensive behavioral interventions, instituted as early as possible,are indicated for every child in whom ASD is suspected.[161, 162]The Education for All Handicapped Children Act of 1975 requires free and appropriate public education for all children,regardless of the extent and severity of their handicaps. Amendments to the Education of the Handicapped Act of 1986extended the requirement for free and appropriate education to children aged 3–5 years.Pediatricians and parents cannot assume, however, that their community’s school will provide satisfactory education for achild with ASD or a related condition. The Individuals with Disabilities Education Act authorized states to determine how toprovide educational services to children younger than 3 years. Pediatricians and parents need to determine the best way toproceed with local agencies.Legal assistance may be necessary to influence a board of education to fund appropriate education for a child with ASD or arelated condition. The Autism Society maintains a Web site and offers a toll-free hotline (1-800-3-AUTISM/1-800-328-8476).This resource provides information and referral services to the public."
"Speech, Behavioral, Occupational, and Physical Therapies","Speech, Behavioral, Occupational, and Physical Therapies emedicine.medscape.com/article/912781-print Therapies that are reported to help some individuals with autism spectrum disorder include the following:Assisted communication - Using keyboards, letter boards, word boards, and other devices (eg, the Picture ExchangeCommunication System[163] ), with the assistance of a therapistAuditory integration training - A procedure in which the individual listens to specially prepared sounds throughheadphonesSensory integration therapy - A treatment for motor and sensory motor problems typically administered byoccupational therapistsExercise and physical therapy - Exercise is often therapeutic for individuals with autistic disorder; a regular programof activity prescribed by a physical therapist may be helpfulIn addition, social skills training helps some children with ASD, including those with comorbid anxiety disorders.[8]In a 2-year randomized, controlled trial, children who received the Early Start Denver Model (ESDM), a comprehensivedevelopmental behavioral intervention for improving outcomes of toddlers diagnosed with ASD, showed significantimprovements in IQ, adaptive behavior, and autism diagnosis compared with children who received intervention commonlyavailable in the community.[164] A follow-up electroencephalographic study showed normalized patterns of brain activity inthe ESDM group.151 Starting intervention at an earlier age and providing a greater number of intervention hours bothrelated to the degree of improvement in children's behavior.[165]"
Cognitive behavior therapy (CBT),"Cognitive behavior therapy (CBT)Cognitive behavior therapy (CBT) is a technique that has been valuable for people with anxiety disorders, including socialanxiety disorder. Individuals with ASD and social anxiety underwent CBT to address negative thoughts and social situationsprovoking anxiety to develop effective behavioral techniques. CBT represents a promising psychological treatment forpeople with ASD and social anxiety.[166]"
Family therapy,Family therapyLiving with a person with ASD can be stressful for family members. Talking therapy to ameliorate conflicts among peoplewith ASD and other family members has been reported to be beneficial to people with ASD and to family members.Research is needed to assess family therapy for people with ASD.[167]
Mind-body exercise,"Practices such as Qigong benefit children with ASD by reducing the severity of sensory, behavioral, and language dysfunction.[168, 169]"
Diet,"Diet When compared with their typically developing (TD) peers, children with ASD are significantly more likely to experience GIproblems and food allergies. According to one study, children with ASD were 6 to 8 times more likely to report frequentgas/bloating, constipation, diarrhea, and sensitivity to foods than TD children. Researchers also discovered a link betweenGI symptoms and maladaptive behavior in children with ASD. When these children had frequent GI symptoms, they showedworse irritability, social withdrawal, stereotypy, and hyperactivity compared with those without frequent symptoms.[170, 171]Individuals with or without ASD need 3 well-balanced meals daily. Dietary consultation may be useful to evaluate thebenefits of special diets, including those lacking gluten and casein. Vitamin B-6 and magnesium are among the vitamins andminerals hypothesized to help some patients.[172]In a randomized, double-blind, placebo-controlled trial, 3 months of treatment with a vitamin/mineral supplement producedstatistically significant improvement in the nutritional and metabolic status of children with ASD. In addition, the supplementgroup had significantly greater improvements than did the placebo group in its Parental Global Impressions-Revised (PGI-R)Average Change scores.[173]Additionally, preclinical and clinical studies indicate that dietary phenols alleviate symptoms of ASD.[174]"
Pharmacologic Treatment,"Pharmacologic TreatmentAlthough 70% of children with ASD receive medications, only limited evidence exists that the beneficial effects outweigh theadverse effects.[175] No pharmacologic agent is effective in the treatment of the core behavioral manifestations of ASD, butdrugs may be effective in treating associated behavioral problems and comorbid disorders.[176, 177] emedicine.medscape.com/article/912781-print The second-generation antipsychotic agents risperidone and aripiprazole provide beneficial effects on challenging andrepetitive behaviors in children with ASD, although these patients may experience significant adverse effects.[178]Risperidone and aripiprazole have been approved by the US Food and Drug Administration (FDA) for irritability associatedwith ASD. The second-generation antipsychotic agent ziprasidone may help to control aggression, irritability, and agitation.[179]Serotonergic drugs are reportedly beneficial for improving behavior in ASD. Hyperactivity often improves withmethylphenidate therapy.Additionally, treatments may be indicated for an underlying condition. For example, children with biotin-responsive infantileencephalopathy improve with the addition of biotin."
SSRIs,"SSRIsSelective serotonin reuptake inhibitors (SSRIs) are widely prescribed for children with ASD and related conditions. Beneficialeffects on children and adolescents with ASD have been reported with fluoxetine,[180] escitalopram,[181] and citalopram.[182, 183]On the other hand, a multicenter, randomized, controlled trial by King and colleagues in 149 children with ASD found nodifference between citalopram and placebo among children rated as much improved or very much improved. Participants inthe treatment arm received liquid citalopram daily for 12 weeks at a mean maximum daily dose of 16.5 mg (maximum 20mg). Nearly all the citalopram recipients reported adverse effects (eg, impulsiveness, hyperactivity, diarrhea).[184]Serotonin syndromeChildren with ASD are at risk of developing a serotonin syndrome when treated with serotonergic agents. Therefore, childrenwho are treated with serotonergic agents should be evaluated at baseline before beginning treatment and then regularlyevaluated for symptoms of a serotonin syndrome using the serotonin syndrome checklist. See the image below for aprintable version.Serotonin syndrome checklist."
Adverse effects and treatment efficacy,"Adverse effects and treatment efficacyChildren with ASD appear sensitive to medication and may experience serious adverse effects that outweigh any beneficialeffects. For example, children may develop catatonia when treated with haloperidol and other traditional neuroleptics.[185,186] Additionally, Kem et al noted priapism in an adolescent with ASD who was treated with trazodone.[187]Practice guidelines from the American Academy of Pediatrics stress the importance of having some quantifiable means ofassessing the efficacy of medication used for the treatment of children with ASD. Validated, treatment-sensitive rating scalesthat have been used in clinical practice to measure the effects of treatment on maladaptive behavior include the ClinicalGlobal Impression Scale, the Aberrant Behavior Checklist, and the Nisonger Child Behavior Rating Form.[188] emedicine.medscape.com/article/912781-print"
Experimental Approaches,"Experimental ApproachesVarious interventions, including chiropractic manipulations, are reported to help with ASD. The results of individual casereports, however, cannot be generalized to the overall population; scientific research is needed to investigate whethertreatments truly are generally helpful."
Transcranial magnetic stimulation,Transcranial magnetic stimulationRepetitive transcranial magnetic stimulation has been reported to alleviate repetitive behaviors and improve socialfunctioning in ASD.[189]
Secretin therapy,"Secretin therapySeveral anecdotal reports suggested that secretin, a gastrointestinal hormone that may function as a neurotransmitter, wasan effective intervention for the symptoms of ASD. This led to several scientific studies of secretin for children with ASD.[190, 191, 192] However, 2 reviews of these trials failed to demonstrate that secretin had a beneficial effect on thesechildren.[193, 194]"
Hyperbaric oxygen therapy,Hyperbaric oxygen therapyBeneficial effects from hyperbaric oxygen therapy have been reported in 6 patients with ASD. The risks of this proceduremust be weighed against the benefits for individual patients. Controlled clinical trials and other studies are needed to confirmthe potential value of this intervention.
Intranasal oxytocin,"Intranasal oxytocinResearch suggests that administration of a single intranasal dose of the hormone oxytocin increases activity in brain regionsassociated with reward, social perception, and emotional awareness and temporarily improves social information processingin children with ASD.[195, 196]In the study of 17 high-functioning children and adolescents with ASD, brain centers associated with reward and emotionrecognition responded more during social tasks when children received oxytocin instead of a placebo.Although behavioral studies in children and adults suggest that a single dose of intranasal oxytocin improves socialinteraction and comprehension of affective speech, results from clinical trials examining the effect of daily administration ofthe drug have been mixed."
Specialist Resources,"Specialist ResourcesChildren with ASD and related conditions typically benefit from intensive, thorough evaluation performed by experiencedprofessionals. Intensive diagnostic evaluation and treatment are accomplished quickly and effectively by well-trainedclinicians at well-staffed centers. Valuable resources are listed below.Division of Developmental and Behavioral PediatricsUniversity of Maryland Medical Center737 West Lombard Street, First FloorBaltimore, MD 21201Phone: 410-706-2300Fax: 410-706-5770URL:  Yale Developmental Disabilities ClinicYale Child Study CenterYale University School of Medicine350 George Street, 2nd FloorNew Haven, CT 06511 emedicine.medscape.com/article/912781-print Phone: 203-785-3420 URL: www.autism.fm Seaver Autism Center for Research and TreatmentIcahn School of Medicine at Mount SinaiDepartment of PsychiatryMount Sinai School of Medicine, Box 1230One Gustave L Levy PlaceNew York, NY 10029Phone: 212-241-0961Email: theseavercenter@mssm.eduURL:  Center for Autism and Related DisordersKennedy Krieger InstituteCreamer Family Building3901 Greenspring AvenueBaltimore, MD 21211URL:  Division of Child and Adolescent PsychiatryNeuropsychiatric HospitalUniversity of California at Los Angeles760 Westwood Plaza, Room 48-240Los Angeles, CA 90024-1759Phone: 310-825-9989 (800-825-9989 from outside 310)URL:  Medical Investigation of Neurodevelopmental Disorders (MIND) InstituteUniversity of California Davis Medical Center2825 50th StreetSacramento, CA 95817Phone: 916-703-0280URL:  Strong Center for Developmental DisabilitiesDepartment of PediatricsChildren's Hospital at Strong emedicine.medscape.com/article/912781-print University of Rochester Medical Center601 Elmwood Ave, Box 671Rochester, NY 14642URL:"
Consultations,"ConsultationsNeuropsychological consultation can be helpful to assess intelligence. Deficits in simple and complex problem-solving tasks(verbal and nonverbal), are likely to be demonstrated on the following tests:Wisconsin Card Sorting TestTrail Making TestStanford-Binet Intelligence TestOther consultations include the following:Ophthalmologic consultation - May be indicated to rule out a treatable visual deficit; special lenses are reported tohelp some individuals with ASD.Neurologic consultation with a movement disorder specialist - Indicated to evaluate tics and other movementdisorders when presentInfectious disease consultation - May be helpful to rule out bacterial or fungal infectionsMetabolic consultation - May help to identify any deficienciesImmunologic consultation - May be useful to rule out immune abnormalities. The possible benefits of experimentaltreatments, such as intravenous (IV) immunoglobulin therapy, must be weighed against the risks of experimentaltreatmentsOtolaryngologic consultation - May be indicated to rule out deficits in the auditory apparatus; additionally,audiography is indicated to rule out hearing deficits Guidelines"
Guidelines Summary,"Guidelines SummaryThe American Academy of Child and Adolescent Psychiatry's practice guidelines for the assessment and treatment ofchildren and adolescents with ASD include the following recommendations:[197, 198]Questions about core symptoms of ASD should be a routine part of psychiatric and developmental assessments ofyoung children.[1]If screening reveals significant ASD symptomatology,[127]  a thorough evaluation should be performed and possiblecomorbid diagnoses should be considered.Children with ASD should undergo a multidisciplinary assessment, including a physical examination, a hearingscreen, communication and psychological tests, and genetic testing.Clinicians should help families obtain educational and behavioral interventions, such as applied behavioral analysis(ABA) programs.Pharmacotherapy should be offered for specific target symptoms or comorbid conditions.Clinicians should maintain an active role in the planning of long-term treatment.Families should be asked about the use of alternative/complementary treatments.  emedicine.medscape.com/article/912781-print Medication"
Medication Summary,"Medication SummaryThe established therapies for ASD are nonpharmacologic. These therapies may include behavioral, educational, andpsychological treatment. No pharmacologic agent is effective in the treatment of the core behavioral manifestations of ASD.However, medication may be effective in the treatment of comorbid disorders, including self-injurious behaviors andmovement disorders.Simultaneous treatment with two or more antipsychotics may be beneficial to treat agitation/irritability, physical aggression,and self-injurious behaviors of patients with ASD, particularly moderately to severely ill males with ASD and intellectualdisability. Generally these treatment regimens are well tolerated without serious adverse events.[199]Second-Generation Antipsychotics"
Alpha-2-adrenergic agonists,Class SummaryThe atypical antipsychotic agents risperidone and aripiprazole have been approved by the FDA for irritability associated withASD.Clonidine (Catapres Catapres-TTS Kapvay) Clonidine (Catapres Catapres-TTS Kapvay)Clonidine stimulates alpha-2-adrenoreceptors in the brain stem activating an inhibitory neuron which in turn results inreduced sympathetic outflow. These effects result in a decrease in vasomotor tone and heart rate. May aid in the treatmentof agression in children and adolescents. Guanfacine (Intuniv) Guanfacine (Intuniv)Guanfacine an alpha-2-adrenergic agonist may preferentially bind postsynaptic alpha-2A adrenoreceptors in the prefrontalcortex and this preferential binding may improve delay-related firing of prefrontal cortex neurons. As a result guanfacinemay affect behavioral inhibition. It has been used off label to reduce hyperactivity in children. Questions & AnswersOverviewWhat is autism spectrum disorder (ASD)?What are the signs and symptoms of autism spectrum disorder (ASD)?What is the focus of the physical exam for autism spectrum disorder (ASD)?"
Stimulants,"Class SummaryThe atypical antipsychotic agents risperidone and aripiprazole have been approved by the FDA for irritability associated withASD. Methylphenidate (Ritalin, Quillivant XR, Ritalin LA, Concerta) Methylphenidate is thought to block the reuptake of norepinephrine and dopamine into the presynaptic neuron and increase the release of these monoamines into the extraneuronal space. Methylphenidate is a racemic mixture composed of the d- and l-enantiomers. The d-enantiomer is more pharmacologically active than the l-enantiomer."
SSRI Antidepressants,"Class SummaryThe atypical antipsychotic agents risperidone and aripiprazole have been approved by the FDA for irritability associated withASD. Fluoxetine (Prozac) Fluoxetine (Prozac)Fluoxetine selectively inhibits presynaptic serotonin reuptake with minimal or no effect on the reuptake of norepinephrineand dopamine. emedicine.medscape.com/article/912781-print Citalopram (Celexa)Citalopram (Celexa)Citalopram enhances serotonin activity by selective reuptake inhibition of serotonin at the neuronal membrane. Dose-dependent QT prolongation has been reported with citalopram.[149 150] . This agent is contraindicated in patients withcongenital long QT syndrome. Escitalopram (Lexapro) Escitalopram is an S-enantiomer of citalopram. The mechanism of action is thought to be potentiation of serotonergic activity in the central nervous system (CNS), resulting from the inhibition of CNS neuronal reuptake of serotonin."
Second-Generation Antipsychotics,"Class SummaryThe atypical antipsychotic agents risperidone and aripiprazole have been approved by the FDA for irritability associated withASD. Risperidone (Risperdal, Risperdal Consta, Risperdal M-Tab) Risperidone (Risperdal, Risperdal Consta, Risperdal M-Tab)Risperidone is an atypical antipsychotic agent that is indicated for irritability associated with ASD in children and adolescentsaged 5-16 years. Risperidone is a mixed serotonin-dopamine antagonist that binds to 5-HT2 with very high affinity and bindsto the dopamine D2 receptor with less affinity. Affinity for the dopamine D2 receptor is 20 times lower than that for the 5-HT2receptor. Risperidone is FDA approved for irritability and aggression in children with ASD, 5 years and older. The combination of serotonin antagonism and dopamine antagonism is thought to improve negative symptoms of psychosesand reduce the incidence of extrapyramidal side effects in comparison with conventional antipsychotics. Aripiprazole (Abilify, Abilify MyCite) Aripiprazole (Abilify, Abilify MyCite)Aripiprazole is indicated for irritability associated with ASD in children and adolescents aged 6-17 years. Aripiprazole isthought to be a partial dopamine (D2) and serotonin (5-HT1A) agonist, and to antagonize serotonin (5-HT2A). Aripiprazole isavailable as a tablet, an orally disintegrating tablet, or an oral solution. Ziprasidone (Geodon) Ziprasidone, a second-generation antipsychotic drug, is used off-label to treat serious behavior disorders associated with ASD, such as self-injurious behavior. It elicits its effects through antagonism of D2, D3, 5-HT2A, 5-HT2C, 5-HT1A, 5-HT1D, and alpha1-adrenergic receptors. In addition, it has a moderate antagonistic effect for histamine H1. It moderately inhibits the reuptake of serotonin and norepinephrine."
