,Question,Answer,Source
62,How are stereotypies in the physical exam for autism spectrum disorder (ASD)?,"Movements observed in individuals with ASD are frequently classified as stereotypies (eg, purposeless, repetitive, patterned motions, postures, and sounds). Stereotypies are divided into the following 3 topologic classes:

Orofacial - Eg, tongue, mouth, and facial movements; smelling; and sniffing and other sounds

Extremity - Eg, hand, finger, toe, and leg

Head and trunk - Eg, rolling, tilting, or banging of the head, and rocking of the body

Stereotypies occur in infants with ASD and in children with intellectual disability. Regular assessment of stereotypies is a valuable practice because stereotypies may bother other people and interfere with performance at school, work, and home. Routine assessment of stereotypies before, during, and after treatment is valuable in determining the effects of interventions.

Stereotypies are assessed for clinical purposes through regular use of the Timed Stereotypies Rating Scale. For this procedure, the occurrence of stereotypies is noted during 30-second intervals over a 10-minute period.",medscape
63,Which self-injurious behaviors are characteristic of autism spectrum disorder (ASD)?,"A particularly serious form of stereotypy is self-injurious behavior. Self-injury may take any of the following forms:

Picking at the skin

Self-biting

Head punching and slapping

Head-to-object and body-to-object banging

Body punching and slapping

Poking the eye, the anus, and other body parts

Lip chewing

Removal of hair and nails

Teeth banging

Self-injury can result in morbidity and mortality. For example, eye poking and head banging may cause retinal detachments resulting in blindness. Although only a minority of the population of children with ASD manifest self-injury, they constitute some of the most challenging patients in developmental pediatrics.",medscape
64,Which physical findings are characteristic of physical abuse in children with autism spectrum disorder (ASD)?,"Children with ASD and related conditions may persist incessantly with repetitive behaviors that annoy others, despite instructions to cease. Children with ASD typically do not respond to spanking and other forms of traditional discipline. Parents, teachers, and others may eventually lose control and inflict physical injury on the child.

For this reason, children with ASD are at high risk for physical abuse; in addition, when physical abuse occurs, these children may not report it. Therefore, pediatricians and other healthcare providers must maintain a high level of suspicion for the possibility of physical abuse when assessing children with ASD and must conduct regular, careful physical examinations.",medscape
65,Which physical findings are characteristic of sexual abuse in children with autism spectrum disorder (ASD)?,"Unlike many other children with intellectual disability, children with ASD are typically physically normal in appearance, without dysmorphic features. They may be beautiful children and, thus, may attract the interest of those who are sexually aroused by children. Children with ASD may lack ability to communicate inappropriate sexual contact to responsible authorities.

Thus, parents, teachers, health-care providers, and others must maintain a high level of suspicion for the possibility of sexual abuse when assessing children with ASD. On physical examination, external examination of genitalia is appropriate. If bruises and other evidence of trauma are present, then pelvic and rectal examinations may be indicated.",medscape
66,How prevalent is autism spectrum disorder (ASD) among siblings?,"Siblings of children with ASD are at risk for developing traits of autism spectrum disorder and even a full-blown diagnosis of ASD. A tenth of the siblings of children with ASD meet the diagnostic criteria for ASD. An additional fifth of siblings of children with ASD have delayed development of language. [59] Screening should be performed not only for autism-related symptoms but also for language delays, learning difficulties, social problems, and anxiety or depressive symptoms. [3]  The American College of Medical Genetics and Genomics identified the risks of a siblings developing ASD as 4% if the proband is male, 7% if the proband is female, and greater than or equal to 30% if there are two or more affected children. ",medscape
67,What are the DSM-5 diagnostic criteria for autism spectrum disorder (ASD)?,"Criteria for the diagnosis of ASD are included in the Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition (DSM-5), and the International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10). [6, 136]

Although the criteria for ASD differ between the DSM-5 and the ICD-10, they are both widely accepted and are used around the world by clinicians and researchers.

A discussion of the differences in the criteria for ASD and related conditions in the DSM-5, the ICD-10, and other nomenclatures is beyond the scope of this article. The key point for pediatricians and other clinicians is that the criteria for ASD and related conditions in the DSM-5 and the ICD-10 are presented in an outline form without a discussion of the terms used.

The DSM-5 and the ICD-10 are poor textbooks of child development and child psychopathology; they do not fully describe the concepts incorporated in the criteria for ASD and related conditions. Therefore, an inexperienced clinician is likely to incorrectly apply the criteria for ASD and related conditions in the DSM-5 and the ICD-10.

The diagnosis of Autism Spectrum Disorder in DSM-5 has 2 key criteria: [6]

Impairments in social communication and social interaction

A restricted, repetitive range of interests, behaviors, and activities",medscape
68,Why should patients be referred to autism specialists for a diagnostic evaluation for autism spectrum disorder (ASD)?,"To administer tools for the diagnosis of ASD and related conditions in a reliable and valid manner requires extensive training and experience. Therefore, unless they have wide experience with children with ASD and understand the concepts implicit in the diagnostic criteria and rating scales, pediatricians and other clinicians are advised to refer patients with possible ASD to experienced clinicians for definitive diagnostic evaluations.

Delayed diagnosis of ASD and related conditions is a serious problem, because early initiation of treatment increases the likelihood of a favorable outcome. Many parents report raising concerns to their pediatricians about the patient's development in the first months and years and being told only that the child will outgrow the problem.",medscape
69,Which screening tests are used to in the diagnostic evaluation for autism spectrum disorder (ASD)?,"Procedures are available for diagnostic screening by practicing pediatricians, including the Checklist for Autism in Toddlers (CHAT) and its revisions, the Modified CHAT (MCHAT) and the Quantitative CHAT (QCHAT). [123, 124] Some items of the CHAT appear to have strong cultural biases that rule out the direct application of this instrument to populations outside the United Kingdom; however, cross-cultural adaptions of CHAT have been prepared. [137]

However, the 3 items of the CHAT that are highly predictive of the development of ASD (ie, protodeclarative pointing, gaze monitoring, pretend play) can be quickly assessed by clinicians during well-baby visits (see Presentation for detailed descriptions of these items). Pediatricians can facilitate early diagnosis of ASD and related conditions by performing a screening procedure at every visit, including well-baby check-ups, school examinations, and immunization appointments. [1]

Assessment of motor and self-care skills in children with ASD is recommended to address clumsiness and sensory issues. [138] If a standardized test to assess sensory processing difficulties is warranted, one of the following tools is recommended: [139]

Sensory Processing Measure - For children aged 5-12 years

Short Sensory Profile - For children aged 37 months to 9 years

Infant/Toddler Sensory Profile - For children aged 7-36 months",medscape
70,What are cultural considerations when performing a diagnostic evaluation for autism spectrum disorder (ASD)?,"Of note are cultural considerations in the evaluation of a child with possible ASD. Cultural and familial differences exist in expectations regarding eye contact, play, social interaction, and pragmatic use of language. When English is not the family’s primary language, professionals should be conscious of finding ways to communicate effectively with the family, including finding professionals and/or translators who speak the primary language.",medscape
71,Which conditions are included in the differential diagnoses of autism spectrum disorder (ASD)?,"Other disorders to consider in the differential diagnosis of ASD are as follows:

44,XXX karyotype

47 chromosomes

(7;20) balanced chromosomal translocation

Angelman syndrome

Deletion 1p35

Duplication of bands 15q11-13

Extra bisatellited marker chromosome

Habit disorder

Infantile hydrocephalus

Interstitial deletion of (17)(p11.2)

Inv Dup (15)(pter->q13)

Language disorder - Mixed, phonologic, receptive, or stuttering

Long Y chromosome

Minamata disease

Moebius syndrome

Nonketotic hyperglycinemia (NKH)

Partial 6p trisomy

Epilepsy

Infantile spasms

Tourette disorder

Trisomy 22

Children with lead poisoning may demonstrate neurobehavioral changes. Constipation, abdominal pain, and/or anorexia are common. Lead poisoning in children at risk should be ruled out through appropriate testing.",medscape
72,Which conditions are included in the differential diagnoses of autism spectrum disorder (ASD) in children older than 30 months?,"Age of onset
ASD manifests in early childhood. For information about individuals with later onset of symptoms consistent with ASD, see the following articles:

Childhood Disintegrative Disorder

Rett Syndrome

Pervasive Developmental Disorder

Many parents report normal development in their child until age 2 years before noticing the deficits in social and communicative skills.",medscape
73,What are the differential diagnoses for Autism Spectrum Disorder?,"Anxiety Disorder: Obsessive-Compulsive Disorder

Anxiety Disorder: Trichotillomania

Attachment Disorders

Congenital Rubella Syndrome

Cornelia De Lange Syndrome

Cri-du-chat Syndrome

Dissociative Identity Disorder

Down Syndrome

Emergent Management of Lead Toxicity

Failure to Thrive

Fragile X Syndrome

Physical Child Abuse

Prader-Willi Syndrome

Rett Syndrome

Williams Syndrome",medscape
74,How are subtypes of autism spectrum disorder (ASD) differentiated?,"Several instruments have been developed to diagnose ASD. Administering these tools in a reliable and valid manner requires extensive training and experience. Therefore, unless they have considerable experience with children with ASD and understand the concepts implicit in the diagnostic criteria and rating scales, pediatricians and other clinicians are advised to refer patients with possible ASD [1] to experienced clinicians for definitive diagnostic evaluations.

Experienced clinicians are able to identify particular deficits in children with ASD and institute effective treatments. Identification of the key dimensions characteristic of ASD may be a more accurate means of distinguishing subtypes of this disorder. [141]

The utilization of broader criteria for ASD will likely result in innovations in the identification of affected children. There will also likely be further developments in the institution of interventions for this disorder.",medscape
75,What is the role of metabolic tests in the workup of autism spectrum disorder (ASD)?,"Several metabolic abnormalities have been identified in investigations of people with ASD. However, biologic markers for ASD do not yet exist. No blood studies are recommended for the routine assessment of children with ASD",medscape
76,What is the role of neuroimaging in the workup of autism spectrum disorder (ASD)?,"There is currently no clinical evidence to support the role of routine clinical neuroimaging in the diagnostic evaluation of ASD, even in the presence of megalencephaly. [3] Studies of various imaging techniques have yielded inconsistent results, and although characteristic abnormalities have been identified, no single finding is diagnostic.",medscape
77,When is electroencephalography indicated in the workup of autism spectrum disorder (ASD)?,"Electroencephalography is useful for ruling out a seizure disorder (present in a third of children with autism spectrum disorder), acquired aphasia with convulsive disorder (Landau-Kleffner syndrome), biotin-responsive infantile encephalopathy, and related conditions.",medscape
78,What is the role of psychophysiologic assessment in the workup of autism spectrum disorder (ASD)?,"Psychophysiologic assessment may be useful to evaluate children with ASD. Children with ASD are not likely to show the response habituation in respiratory period, electrodermal activity, and vasoconstrictive peripheral pulse amplitude response to repeatedly presented stimuli seen in typical children. Children with ASD may also demonstrate auditory overselectivity.",medscape
79,What is the role of polysomnography in the workup of autism spectrum disorder (ASD)?,"Polysomnography may facilitate the diagnosis of treatable comorbid disorders. Most children with ASD have sleep disturbances, including early morning awakening, frequent arousals, and fragmented sleep. [142] Additionally, children with ASD often display prolonged sleep onset and abnormal sleep architecture. Polysomnography may be useful not only in identifying sleep disorders, but also in demonstrating seizure discharges.",medscape
80,What is the role of genetic tests in the workup of autism spectrum disorder (ASD)?,"Practice guidelines from the American Academy of Neurology and the Child Neurology Society recommend genetic testing (eg, with high-resolution chromosome studies and DNA analysis) for fragile X in children with ASD who meet any of the following criteria: [3]

The child has an intellectual disability

Intellectual disability cannot be excluded

There is a family history of fragile X or undiagnosed intellectual disability 

Dysmorphic features are present",medscape
81,What is the role of MRI in the workup of autism spectrum disorder (ASD)?,"Magnetic resonance imaging (MRI) studies in patients with ASD yield inconsistent results. However, typical findings include enlargement of the total brain, the total brain tissue, and the lateral and fourth ventricles, along with reductions in the size of the midbrain, the medulla oblongata, the cerebellar hemispheres, and vermal lobules VI and VII. [143, 144] Although vermal hypoplasia is found in some individuals with ASD, vermal hyperplasia is identified in others. [145]

The volume of the gray matter is bilaterally decreased in the amygdala, the precuneus, and the hippocampus of people with ASD. Adolescents with ASD have shown greater decreases in the volume of the gray matter of the right precuneus than adults. The volume of the gray matter in the middle-inferior frontal gyrus has been found to be slightly increased in people with ASD. [146]

Imaging studies in patients with ASD who exhibit head banging may show enlargement of the diploic space in the parietal and occipital bones, with loss of gray matter adjacent to the bony changes. These findings resemble those of posttraumatic encephalopathy in athletes in contact sports (eg, football, hockey) and professional boxers (dementia pugilistica).

In one study, MRI performed during the presentation of a bedtime story during natural sleep in children aged 12-48 months provided evidence of atypical hemispheric lateralization for language in toddlers who develop ASD. [147] Study subjects who developed ASD failed to exhibit the left hemispheric response to spoken language that is typical of normally developing toddlers and instead demonstrated abnormal right temporal cortical responses.",medscape
82,What is the role of diffusion tensor imaging in the workup of autism spectrum disorder (ASD)?,"On MRI studies, diffusion tensor imaging can provide information about connections among different brain regions. Children with ASD demonstrated higher values for the apparent diffusion coefficient (ADC) in the whole frontal lobe, as well as the long and short association fibers of the frontal lobe. [148]

Children with ASD and their healthy siblings demonstrate significant reductions in fractional anisotropy (FA) in association, commissural, and projection tracts, in contrast to control groups. [149, 150] Alterations in FA in the white matter of the frontal, parietal, and temporal lobes suggest an inherited trait characteristic of a vulnerability to develop ASD.",medscape
83,What is the role of CT scanning in the workup of autism spectrum disorder (ASD)?,"Results of computed tomography (CT) studies of the head are inconsistent in patients with ASD. However, they may reveal deficits, including enlargement of the ventricles, hydrocephalus, parenchymal lesions, and reduction in size of the caudate nucleus.",medscape
84,What is the role of PET scanning in the workup of autism spectrum disorder (ASD)?,"Positron emission tomography (PET) scanning reveals multiple deficits, but no finding characterizes all people with ASD, and the results vary with each individual.On 18-fluoro-2-deoxyglucose (FDG) PET scans, the anterior rectal gyrus is larger on the left than the right in some patients, a finding opposite to the asymmetry seen in typical individuals. Some individuals also exhibit an increased glucose metabolic rate in the right posterior calcarine cortex and a decreased glucose metabolic rate in the left posterior putamen and the left medial thalamus. [152]

Decreased dopaminergic neurotransmission occurs in the anterior medial prefrontal cortex of children with ASD. [153]  The dopamine transporter has been reported to be increased in the orbital frontal cortex of adults with ASD and decreased in the striatum of children with ASD. [153]

Decreased serotonin receptors were observed in the thalami of people with ASD and in the cortices of the parents of children with ASD. [153]

Increased metabotropic glutamate receptor type 5 (mGluR5) was demonstrated in the postcentral gyrus and the cerebellum of men with ASD in contrast to age- and sex-matched healthy controls without ASD.",medscape
85,What is the role of SPECT scanning in the workup of autism spectrum disorder (ASD)?,"Chiron and colleagues found that the normal asymmetry of regional cerebral blood flow (ie, higher in the left hemisphere in right-handed individuals) was lacking in some people with ASD. Tests of regional cerebral blood flow with xenon-133 (133 Xe) revealed left-hemispheric dysfunction, especially in the cortical areas devoted to language and handedness. [155]

Regional cerebral blood flow assessed with technetium-99m (99m Tc) labeled to hexamethylpropyleneamine oxide (HMPAO), a lipophilic substance, in children with ASD demonstrates variable anomalies, including reductions in the vermis, the cerebellar hemispheres, the thalami, the basal ganglia, and the parietal and temporal lobes. These findings suggest that no single abnormality characterizes all individuals with ASD.",medscape
86,What is the role of electroencephalography in the workup of autism spectrum disorder (ASD)?,"Electroencephalography (EEG) is useful for ruling out seizure disorder (present in a third of children with ASD), acquired aphasia with convulsive disorder (Landau-Kleffner syndrome), biotin-responsive infantile encephalopathy, and related conditions. The American Academy of Neurology and the Child Neurology Society found inadequate evidence to recommend an electroencephalogram (EEG) in all individuals with ASD. [3]

Consultation with an electroencephalographer may help to determine appropriate procedures for individual cases.

A single normal EEG does not rule out a paroxysmal abnormality, such as a seizure disorder. When a routine EEG does not reveal unequivocal evidence of a seizure disorder in a patient who may have one (eg, partial seizures with complex symptomatology), specialized procedures may help to clarify the diagnosis. Measurements of electroencephalographic activity after sleep deprivation and after stimulation with light, noise, and tactile sensations using nasopharyngeal leads, as well as the use of video monitoring simultaneously with electroencephalography, may be helpful in such cases. Neurologic consultation can also be beneficial.

Indications for performing a sleep-deprived EEG with appropriate sampling of slow-wave sleep in patients with ASD are clinical seizures (or suspicion of subclinical seizures) and clinically significant loss of social and communicative function, especially in toddlers and preschoolers. [3]

Admission to a specialized unit for simultaneous 24-hour video monitoring of electroencephalography and movement of the patient for a few days of assessment may facilitate the establishment of or the exclusion of diagnosis of a paroxysmal disorder. See PET Scanning in Autism Spectrum Disorders for further information.",medscape
87,How is autism spectrum disorder (ASD) treated?,"Individual intensive interventions, including behavioral, educational, and psychological components, are the most effective treatments of ASD. Beginning the treatment early in infancy increases the likelihood of a favorable outcome. Thus, regular screening of infants and toddlers for symptoms and signs of ASD is crucial because it allows for early identification of these patients. The American Academy of Pediatrics recommends referral for specialized diagnostic and therapeutic interventions as soon as symptoms or signs of ASD appear. [157, 1]

Individuals with ASD typically benefit from behaviorally oriented therapeutic programs developed specifically for this population. Children with ASD should be placed in these specialized programs as soon as the diagnosis is entertained.

Parents, teachers, pediatricians, and other health care providers are advised to seek the assistance of people who are familiar with early intervention programs for children with ASD. The Autism Society can help parents to obtain appropriate referrals for optimal interventions.

Parents understandably become exhausted by the relentless performance of challenging behaviors by their child with ASD. A specially trained educator or behavioral psychologist can help to teach them effective ways to modify these challenging behaviors. Parents also frequently benefit from temporary respite from the child.

The possible benefits from pharmacotherapy must be balanced against the likely adverse effects on a case-by-case basis. In particular, venlafaxine may increase high-intensity aggression in some adolescents with ASD. [10]

Limited, largely anecdotal evidence suggests that dietary measures may be helpful in some children with ASD. Avoidance of certain foods, notably those containing gluten or casein, and supplementation with specific vitamins and minerals have reportedly proved helpful in select cases.

The National Autism Center has initiated the National Standards Project, which has the goal of establishing a set of evidence-based standards for educational and behavioral interventions for children with ASD. The project has identified established, emerging, and unestablished treatments. Early identification of children with ASD followed by prompt institution of intensive interventions [158] facilitates optimal outcomes.",medscape
88,When is inpatient psychiatric care indicated for autism spectrum disorder (ASD)?,"In December 2015, an expert panel released 11 consensus statements on best practices for inpatient care of children with ASD. The panel recommends that children with ASD or intellectual disability (ID) can be treated in general inpatient psychiatric units, with specific accommodations. The recommendations also set out the information that should be obtained from children on admission, including the child's preferences, means of communication, reinforcement items, and sensory sensitivities. Also emphasized is the importance of screening for co-occurring medical and psychiatric conditions.",medscape
89,What is the role of special education in the treatment of autism spectrum disorder (ASD)?,"Special education is central to the treatment of ASD. Although parents may choose to use various experimental treatments, including medication, they should concurrently use intensive individual special education by an educator familiar with instructing children who have ASD or a related condition. Intensive behavioral interventions, instituted as early as possible, are indicated for every child in whom ASD is suspected. [161, 162]

The Education for All Handicapped Children Act of 1975 requires free and appropriate public education for all children, regardless of the extent and severity of their handicaps. Amendments to the Education of the Handicapped Act of 1986 extended the requirement for free and appropriate education to children aged 3–5 years.

Pediatricians and parents cannot assume, however, that their community’s school will provide satisfactory education for a child with ASD or a related condition. The Individuals with Disabilities Education Act authorized states to determine how to provide educational services to children younger than 3 years. Pediatricians and parents need to determine the best way to proceed with local agencies.

Legal assistance may be necessary to influence a board of education to fund appropriate education for a child with ASD or a related condition. The Autism Society maintains a Web site and offers a toll-free hotline (1-800-3-AUTISM/1-800-328-8476). This resource provides information and referral services to the public.",medscape
90,"Which types of speech, occupational and physical therapies are used in the treatment of autism spectrum disorder (ASD)?","Therapies that are reported to help some individuals with autism spectrum disorder include the following:

Assisted communication - Using keyboards, letter boards, word boards, and other devices (eg, the Picture Exchange Communication System [163] ), with the assistance of a therapist

Auditory integration training - A procedure in which the individual listens to specially prepared sounds through headphones

Sensory integration therapy - A treatment for motor and sensory motor problems typically administered by occupational therapists

Exercise and physical therapy - Exercise is often therapeutic for individuals with autistic disorder; a regular program of activity prescribed by a physical therapist may be helpful

In addition, social skills training helps some children with ASD, including those with comorbid anxiety disorders. [8]

In a 2-year randomized, controlled trial, children who received the Early Start Denver Model (ESDM), a comprehensive developmental behavioral intervention for improving outcomes of toddlers diagnosed with ASD, showed significant improvements in IQ, adaptive behavior, and autism diagnosis compared with children who received intervention commonly available in the community. [164] A follow-up electroencephalographic study showed normalized patterns of brain activity in the ESDM group.151 Starting intervention at an earlier age and providing a greater number of intervention hours both related to the degree of improvement in children's behavior. ",medscape
91,What is the role of CBT in the treatment of autism spectrum disorder (ASD)?,"Cognitive behavior therapy (CBT) is a technique that has been valuable for people with anxiety disorders, including social anxiety disorder. Individuals with ASD and social anxiety underwent CBT to address negative thoughts and social situations provoking anxiety to develop effective behavioral techniques. CBT represents a promising psychological treatment for people with ASD and social anxiety. ",medscape
92,What is the role of family therapy in the treatment of autism spectrum disorder (ASD)?,Living with a person with ASD can be stressful for family members. Talking therapy to ameliorate conflicts among people with ASD and other family members has been reported to be beneficial to people with ASD and to family members. Research is needed to assess family therapy for people with ASD.,medscape
93,Which dietary modifications are used in the treatment of autism spectrum disorder (ASD)?,"When compared with their typically developing (TD) peers, children with ASD are significantly more likely to experience GI problems and food allergies. According to one study, children with ASD were 6 to 8 times more likely to report frequent gas/bloating, constipation, diarrhea, and sensitivity to foods than TD children. Researchers also discovered a link between GI symptoms and maladaptive behavior in children with ASD. When these children had frequent GI symptoms, they showed worse irritability, social withdrawal, stereotypy, and hyperactivity compared with those without frequent symptoms. [170, 171]

Individuals with or without ASD need 3 well-balanced meals daily. Dietary consultation may be useful to evaluate the benefits of special diets, including those lacking gluten and casein. Vitamin B-6 and magnesium are among the vitamins and minerals hypothesized to help some patients. [172]

In a randomized, double-blind, placebo-controlled trial, 3 months of treatment with a vitamin/mineral supplement produced statistically significant improvement in the nutritional and metabolic status of children with ASD. In addition, the supplement group had significantly greater improvements than did the placebo group in its Parental Global Impressions-Revised (PGI-R) Average Change scores. [173]

Additionally, preclinical and clinical studies indicate that dietary phenols alleviate symptoms of ASD. ",medscape
94,What is the efficacy of medications for the treatment of autism spectrum disorder (ASD)?,"Although 70% of children with ASD receive medications, only limited evidence exists that the beneficial effects outweigh the adverse effects. [175] No pharmacologic agent is effective in the treatment of the core behavioral manifestations of ASD, but drugs may be effective in treating associated behavioral problems and comorbid disorders. [176, 177]

The second-generation antipsychotic agents risperidone and aripiprazole provide beneficial effects on challenging and repetitive behaviors in children with ASD, although these patients may experience significant adverse effects. [178] Risperidone and aripiprazole have been approved by the US Food and Drug Administration (FDA) for irritability associated with ASD. The second-generation antipsychotic agent ziprasidone may help to control aggression, irritability, and agitation. [179]

Serotonergic drugs are reportedly beneficial for improving behavior in ASD. Hyperactivity often improves with methylphenidate therapy.

Additionally, treatments may be indicated for an underlying condition. For example, children with biotin-responsive infantile encephalopathy improve with the addition of biotin.",medscape
95,What is the role of SSRIs in the treatment of autism spectrum disorder (ASD)?,"Selective serotonin reuptake inhibitors (SSRIs) are widely prescribed for children with ASD and related conditions. Beneficial effects on children and adolescents with ASD have been reported with fluoxetine, [180] escitalopram, [181] and citalopram. [182, 183]

On the other hand, a multicenter, randomized, controlled trial by King and colleagues in 149 children with ASD found no difference between citalopram and placebo among children rated as much improved or very much improved. Participants in the treatment arm received liquid citalopram daily for 12 weeks at a mean maximum daily dose of 16.5 mg (maximum 20 mg). Nearly all the citalopram recipients reported adverse effects (eg, impulsiveness, hyperactivity, diarrhea).",medscape
96,How is serotonin syndrome treatment in autism spectrum disorder (ASD)?,"Children with ASD are at risk of developing a serotonin syndrome when treated with serotonergic agents. Therefore, children who are treated with serotonergic agents should be evaluated at baseline before beginning treatment and then regularly evaluated for symptoms of a serotonin syndrome using the serotonin syndrome checklist. See the image below for a printable version",medscape
97,What are the possible adverse effects of medications used in the treatment of autism spectrum disorder (ASD)?,"Children with ASD appear sensitive to medication and may experience serious adverse effects that outweigh any beneficial effects. For example, children may develop catatonia when treated with haloperidol and other traditional neuroleptics. [185, 186] Additionally, Kem et al noted priapism in an adolescent with ASD who was treated with trazodone. [187]

Practice guidelines from the American Academy of Pediatrics stress the importance of having some quantifiable means of assessing the efficacy of medication used for the treatment of children with ASD. Validated, treatment-sensitive rating scales that have been used in clinical practice to measure the effects of treatment on maladaptive behavior include the Clinical Global Impression Scale, the Aberrant Behavior Checklist, and the Nisonger Child Behavior Rating Form.",medscape
98,What is the role of secretin therapy in the treatment of autism spectrum disorder (ASD)?,"Various interventions, including chiropractic manipulations, are reported to help with ASD. The results of individual case reports, however, cannot be generalized to the overall population; scientific research is needed to investigate whether treatments truly are generally helpful.

Transcranial magnetic stimulation
Repetitive transcranial magnetic stimulation has been reported to alleviate repetitive behaviors and improve social functioning in ASD. [189]

Secretin therapy
Several anecdotal reports suggested that secretin, a gastrointestinal hormone that may function as a neurotransmitter, was an effective intervention for the symptoms of ASD. This led to several scientific studies of secretin for children with ASD. [190, 191, 192] However, 2 reviews of these trials failed to demonstrate that secretin had a beneficial effect on these children. 

",medscape
99,What is the role of hyperbaric oxygen therapy in the treatment of autism spectrum disorder (ASD)?,Beneficial effects from hyperbaric oxygen therapy have been reported in 6 patients with ASD. The risks of this procedure must be weighed against the benefits for individual patients. Controlled clinical trials and other studies are needed to confirm the potential value of this intervention.,medscape
100,What is the role of intranasal oxytocin in the treatment of autism spectrum disorder (ASD)?,"Research suggests that administration of a single intranasal dose of the hormone oxytocin increases activity in brain regions associated with reward, social perception, and emotional awareness and temporarily improves social information processing in children with ASD. [195, 196]

In the study of 17 high-functioning children and adolescents with ASD, brain centers associated with reward and emotion recognition responded more during social tasks when children received oxytocin instead of a placebo.

Although behavioral studies in children and adults suggest that a single dose of intranasal oxytocin improves social interaction and comprehension of affective speech, results from clinical trials examining the effect of daily administration of the drug have been mixed.",medscape
101,Which specialist consultations are beneficial to patients with autism spectrum disorder (ASD)?,"Neuropsychological consultation can be helpful to assess intelligence. Deficits in simple and complex problem-solving tasks (verbal and nonverbal), are likely to be demonstrated on the following tests:

Wisconsin Card Sorting Test

Trail Making Test

Stanford-Binet Intelligence Test

Other consultations include the following:

Ophthalmologic consultation - May be indicated to rule out a treatable visual deficit; special lenses are reported to help some individuals with ASD.

Neurologic consultation with a movement disorder specialist - Indicated to evaluate tics and other movement disorders when present

Infectious disease consultation - May be helpful to rule out bacterial or fungal infections

Metabolic consultation - May help to identify any deficiencies

Immunologic consultation - May be useful to rule out immune abnormalities. The possible benefits of experimental treatments, such as intravenous (IV) immunoglobulin therapy, must be weighed against the risks of experimental treatments

Otolaryngologic consultation - May be indicated to rule out deficits in the auditory apparatus; additionally, audiography is indicated to rule out hearing deficits",medscape
102,What are the AACAP guidelines on the assessment and treatment of autism spectrum disorder (ASD)?,"The American Academy of Child and Adolescent Psychiatry's practice guidelines for the assessment and treatment of children and adolescents with ASD include the following recommendations: [197, 198]

Questions about core symptoms of ASD should be a routine part of psychiatric and developmental assessments of young children. [1]

If screening reveals significant ASD symptomatology, [127]  a thorough evaluation should be performed and possible comorbid diagnoses should be considered.

Children with ASD should undergo a multidisciplinary assessment, including a physical examination, a hearing screen, communication and psychological tests, and genetic testing.

Clinicians should help families obtain educational and behavioral interventions, such as applied behavioral analysis (ABA) programs.

Pharmacotherapy should be offered for specific target symptoms or comorbid conditions.

Clinicians should maintain an active role in the planning of long-term treatment.

Families should be asked about the use of alternative/complementary treatments.",medscape
103,What is the role of medications in the treatment of autism spectrum disorder (ASD)?,"The established therapies for ASD are nonpharmacologic. These therapies may include behavioral, educational, and psychological treatment. No pharmacologic agent is effective in the treatment of the core behavioral manifestations of ASD. However, medication may be effective in the treatment of comorbid disorders, including self-injurious behaviors and movement disorders.

Simultaneous treatment with two or more antipsychotics may be beneficial to treat agitation/irritability, physical aggression, and self-injurious behaviors of patients with ASD, particularly moderately to severely ill males with ASD and intellectual disability. Generally these treatment regimens are well tolerated without serious adverse events.",medscape
104,Which medications in the drug class Alpha-2-adrenergic agonists are used in the treatment of Autism Spectrum Disorder?,"Class Summary
Alpha-2-adrenergic agonists may facilitate the management of inattention, hyperactivity, and impulsivity in children with ASD.

Clonidine (Catapres, Catapres-TTS, Kapvay)
View full drug information
Clonidine stimulates alpha-2-adrenoreceptors in the brain stem, activating an inhibitory neuron, which in turn results in reduced sympathetic outflow. These effects result in a decrease in vasomotor tone and heart rate. May aid in the treatment of agression in children and adolescents.

Guanfacine (Intuniv)
View full drug information
Guanfacine, an alpha-2-adrenergic agonist, may preferentially bind postsynaptic alpha-2A adrenoreceptors in the prefrontal cortex, and this preferential binding may improve delay-related firing of prefrontal cortex neurons. As a result, guanfacine may affect behavioral inhibition. It has been used off label to reduce hyperactivity in children.",medscape
105,Which medications in the drug class Stimulants are used in the treatment of Autism Spectrum Disorder?,"Class Summary
Stimulants may be effective for treating hyperactivity associated with ASD. The magnitude of response, however, is less than that seen in developmentally normal children with attention deficit hyperactivity disorder

Methylphenidate (Ritalin, Quillivant XR, Ritalin LA, Concerta)
View full drug information
Methylphenidate is thought to block the reuptake of norepinephrine and dopamine into the presynaptic neuron and increase the release of these monoamines into the extraneuronal space. Methylphenidate is a racemic mixture composed of the d- and l-enantiomers. The d-enantiomer is more pharmacologically active than the l-enantiomer.",medscape
