,Question,Answer,Source
54,Which speech development findings are characteristic of autism spectrum disorder (ASD)?,"children and children with some pervasive developmental disorders; a no"" occurs in children with autism Rett syndrome and other developmental disorders. Item 2 - A ""yes"" occurs in healthy children not children with autism. Item 3 - A ""yes"" occurs in healthy children and children with Asperger syndrome (ie high-functioning autism); a ""no"" occurs in children with Rett syndrome; children with autism may elicit a ""yes"" or a ""no""; some children with autism never speak; some children with autism may develop speech normally and then experience a regression with the loss of speech. Item 4 - A ""yes"" occurs in healthy children and children with Asperger syndrome and some other pervasive developmental disorders; a ""no"" occurs in children with developmental disorders; children with autism may elicit a ""yes"" or a ""no."" Items 5-10 - Scores of ""yes"" occur in some children with autism and in children with other disorders. Item 11 – A ""yes"" occurs in healthy children; a ""no"" occurs in some children with autism and in children with other disorders. Items 12 13 - Scores of ""yes"" occur in some children with autism and in children with other disorders. Items 14-19 - Scores of ""yes"" occur in children with schizophrenia and other disorders not in children with autism Asperger syndrome or other autism spectrum disorders. The higher the total score for items 5-10 12 and 13 on the Autism Screening Checklist the more likely the presence of an autism spectrum disorder. The significance of answers to individual Autism Screening Checklist items is as follows: Item 1- A ""yes"" occurs in healthy children and children with some pervasive developmental disorders; a ""no"" occurs in children with ASD and other developmental disorders Item 2 - A ""yes"" occurs in healthy children not children with ASD Item 3 - A ""yes"" occurs in healthy children and children with Asperger syndrome (ie high-functioning ASD); children with ASD may elicit a “yes” or a ""no""; some children with ASD never speak; some children with ASD may develop speech normally and then experience a regression with the loss of speech Item 4 - A ""yes"" occurs in healthy children and children with Asperger syndrome (ie high-functioning ASD); a ""no"" ccurs in children with developmental disorders; children with ASD may elicit a ""yes"" or a ""no"" Items 5-10 - Scores of ""yes"" occur in some children with ASD. Item 11  A ""yes"" occurs in healthy children; a ""no"" occurs in some children with ASD. Items 12 13 - Scores of ""yes"" occur in some children with ASD. Items 14-19 - Scores of ""yes"" occur in children with schizophrenia and other disorders not in children with ASD. The higher the total score for items 5-10 12 and 13 on the Autism screening checklist the more likely that an ASD is""",medscape
55,Which types of play are characteristic of autism spectrum disorder (ASD)?,"Screening well babies for signs predictive of autism spectrum disorder is important.[1] Baron-Cohen and colleaguesobserved that abnormalities in pretend play, gaze monitoring, and protodeclarative pointing noted in toddlers during well-child visits in the United Kingdom were useful in predicting the later diagnosis of ASD.[123, 124]Baron-Cohen and colleagues developed a set of valid and reliable tools to screen for ASD over the lifespan,[128] includingthe Checklist for Autism in Toddlers (CHAT) and its revisions, the Modified CHAT (MCHAT) and the Quantitative CHAT(QCHAT), for newborns and toddlers,[123, 124, 129] as well as the Autism-Spectrum Quotient (AQ), for children,[130]adolescents,[131] and adults.[132] The possible cultural limitations of these tools in different ethnic groups in variousgeographic regions remain to be demonstrated.Pretend playIn screening for the presence of symbolic play, other make-believe play may be substituted based on cultural relevance. Thechild should respond appropriately to a pretend activity compared with most other children of the same culture.Gaze monitoringThe assessment of normal gaze monitoring, suggested by Baron-Cohen and colleagues, consists of the following steps: (1)the clinician calls the child's name, points to a toy on the other side of the room, and says, ""Oh look! There's a [name atoy]!"";[123, 124] (2) if the child looks across the room to see the item indicated by the clinician, then a joint attention isestablished, indicating normal gaze monitoring.Protodeclarative pointingBaron-Cohen and colleagues established the following protocol to assess for the presence of protodeclarative pointing:Say to the child, “Where's the light?” or “Show me the light”A normal response is for the child to point with his or her index finger at the light while looking up at the clinician'sface[123, 124]If the child does not respond appropriately, the procedure may be repeated with a teddy bear or any otherunreachable objectExecutive functionDeficits in executive function have been generally observed in people with ASD.[133]",medscape
56,How do children with autism spectrum disorder (ASD) react to febrile illness?,"Body movementClumsiness, awkward walk, and abnormal motor movements are characteristic features of ASD. Manifestations of attentiondeficit hyperactivity disorder that are very often associated with ASD include hyperkinesis and stereotypies.Common abnormal motor movements in children with ASD include hand flapping, in which the upper extremity is rapidlyraised and lowered with a flaccid wrist so that the hand flaps like a flag in the wind. Hand flapping typically occurs when thechild is happy or excited. It may occur in combination with movement of the entire body, such as bouncing (ie, jumping upand down) and rotating (ie, constantly spinning around a vertical axis in the midline of the body).Children with ASD also often display motor tics and are unable to remain still. Because children with ASD are oftenintellectually impaired and nonverbal, expressing subjective experiences associated with the movement is often impossiblefor them. Thus, the diagnosis of akathisia cannot be applied in these cases, because this diagnosis requires theverbalization of a sensation of inner restlessness and an urge to move.",medscape
57,What is the Autism Screening Checklist?,"Head and hand featuresAberrant palmar creases and other dermatoglyphic anomalies are more common in children with ASD.Although the head circumference of children with ASD may be small at birth, many children with autism spectrumdisorder experience a rapid increase in the rate of growth from age 6 months to 2 years.[4] The head circumference isincreased in a subgroup of approximately one fifth of the population of children with ASD without known comorbidconditions.[134] Increased head circumference is more common in boys and is associated with poor adaptive behavior. Thehead circumference may return to normal in adolescence.[5]",medscape
58,How are children screened for autism spectrum disorder (ASD)?,"Movement assessmentPatients with ASD merit a careful assessment of movements. The caregiver and clinicians may be asked whether the patientshows any unusual motions in the mouth, face, hands, or feet and, if so, may be asked to describe them and how theybother the patient. emedicine.medscape.com/article/912781-print The patient may be asked to sit on the chair with legs slightly apart, feet flat on the floor, and hands hanging supportedbetween the legs or hanging over the knees. The patient may be asked to open his or her mouth and then twice to stick outthe tongue.If the subject does not perform the requested action, the examiner then repeatedly performs the actions in the direct view ofthe subject to demonstrate the desired actions.The patient may be asked to sit, stand, and lie on a sheet on the floor for 2 minutes in each position and to remainmotionless while in each posture. In each position, the patient is asked, ""Do you have a sensation of inner restlessness?""and ""Do you have the urge to move?"" These questions require an appropriate developmental level for a useful response.Therefore, most children with ASD cannot respond appropriately.In the absence of a clear verbal response, the subjective items are not rated. Nevertheless, the objective behavior of thechild can be observed and rated.",medscape
59,Which body movement findings are characteristic of autism spectrum disorder (ASD)?,"Movements observed in individuals with ASD are frequently classified as stereotypies (eg, purposeless, repetitive, patterned motions, postures, and sounds). Stereotypies are divided into the following 3 topologic classes: Orofacial - Eg, tongue, mouth, and facial movements; smelling; and sniffing and other sounds Extremity - Eg, hand, finger, toe, and leg Head and trunk - Eg, rolling, tilting, or banging of the head, and rocking of the body Stereotypies occur in infants with ASD and in children with intellectual disability. Regular assessment of stereotypies is a valuable practice because stereotypies may bother other people and interfere with performance at school, work, and home. Routine assessment of stereotypies before, during, and after treatment is valuable in determining the effects of interventions. Stereotypies are assessed for clinical purposes through regular use of the Timed Stereotypies Rating Scale. For this procedure, the occurrence of stereotypies is noted during 30-second intervals over a 10-minute period. For additional information about the rating of stereotypies, please see Tardive Dyskinesia.",medscape
60,Which physical findings of the head and hands are characteristic of autism spectrum disorder (ASD)?,"A particularly serious form of stereotypy is self-injurious behavior. Self-injury may take any of the following forms: Picking at the skin Self-biting Head punching and slapping Head-to-object and body-to-object banging Body punching and slapping Poking the eye, the anus, and other body parts Lip chewing Removal of hair and nails Teeth banging Self-injury can result in morbidity and mortality. For example, eye poking and head banging may cause retinal detachments resulting in blindness. Although only a minority of the population of chi",medscape
61,How are movements assessed in the physical exam for autism spectrum disorder (ASD)?,"Children with ASD and related conditions may persist incessantly with repetitive behaviors that annoy others, despite instructions to cease. Children with ASD typically do not respond to spanking and other forms of traditional discipline. Parents, teachers, and others may eventually lose control and inflict physical injury on the child. For this reason, children with ASD are at high risk for physical abuse; in addition, when physical abuse occurs, these children may not report it. Therefore, pediatricians and other healthcare providers must maintain a high level of suspicion for the possibility of physical abuse when assessing children with ASD and must conduct regular, careful physical examinations.",medscape
62,How are stereotypies in the physical exam for autism spectrum disorder (ASD)?,"Sexual abuse Unlike many other children with intellectual disability, children with ASD are typically physically normal in appearance,without dysmorphic features. They may be beautiful children and, thus, may attract the interest of those who are sexuallyaroused by children. Children with ASD may lack ability to communicate inappropriate sexual contact to responsibleauthorities.Thus, parents, teachers, health-care providers, and others must maintain a high level of suspicion for the possibility ofsexual abuse when assessing children with ASD. On physical examination, external examination of genitalia is appropriate.If bruises and other evidence of trauma are present, then pelvic and rectal examinations may be indicated.",medscape
63,Which self-injurious behaviors are characteristic of autism spectrum disorder (ASD)?,"Examination of siblingsSiblings of children with ASD are at risk for developing traits of autism spectrum disorder and even a full-blown diagnosis ofASD. A tenth of the siblings of children with ASD meet the diagnostic criteria for ASD. An additional fifth of siblings ofchildren with ASD have delayed development of language.[59] Screening should be performed not only for autism-relatedsymptoms but also for language delays, learning difficulties, social problems, and anxiety or depressive symptoms.[3]  TheAmerican College of Medical Genetics and Genomics identified the risks of a siblings developing ASD as 4% if the probandis male, 7% if the proband is female, and greater than or equal to 30% if there are two or more affected children.[135] DDx",medscape
64,Which physical findings are characteristic of physical abuse in children with autism spectrum disorder (ASD)?,"Diagnostic ConsiderationsCriteria for the diagnosis of ASD are included in the Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition(DSM-5), and the International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10).[6, 136]Although the criteria for ASD differ between the DSM-5 and the ICD-10, they are both widely accepted and are used aroundthe world by clinicians and researchers.A discussion of the differences in the criteria for ASD and related conditions in the DSM-5, the ICD-10, and othernomenclatures is beyond the scope of this article. The key point for pediatricians and other clinicians is that the criteria forASD and related conditions in the DSM-5 and the ICD-10 are presented in an outline form without a discussion of the termsused.The DSM-5 and the ICD-10 are poor textbooks of child development and child psychopathology; they do not fully describethe concepts incorporated in the criteria for ASD and related conditions. Therefore, an inexperienced clinician is likely toincorrectly apply the criteria for ASD and related conditions in the DSM-5 and the ICD-10.The diagnosis of Autism Spectrum Disorder in DSM-5 has 2 key criteria:[6]Impairments in social communication and social interactionA restricted, repetitive range of interests, behaviors, and activities",medscape
65,Which physical findings are characteristic of sexual abuse in children with autism spectrum disorder (ASD)?,"Diagnostic error and clinician experienceTo administer tools for the diagnosis of ASD and related conditions in a reliable and valid manner requires extensive trainingand experience. Therefore, unless they have wide experience with children with ASD and understand the concepts implicitin the diagnostic criteria and rating scales, pediatricians and other clinicians are advised to refer patients with possible ASDto experienced clinicians for definitive diagnostic evaluations.Delayed diagnosis of ASD and related conditions is a serious problem, because early initiation of treatment increases thelikelihood of a favorable outcome. Many parents report raising concerns to their pediatricians about the patient'sdevelopment in the first months and years and being told only that the child will outgrow the problem.",medscape
66,How prevalent is autism spectrum disorder (ASD) among siblings?,"Screening testsProcedures are available for diagnostic screening by practicing pediatricians, including the Checklist for Autism in Toddlers(CHAT) and its revisions, the Modified CHAT (MCHAT) and the Quantitative CHAT (QCHAT).[123, 124] Some items of theCHAT appear to have strong cultural biases that rule out the direct application of this instrument to populations outside theUnited Kingdom; however, cross-cultural adaptions of CHAT have been prepared.[137]However, the 3 items of the CHAT that are highly predictive of the development of ASD (ie, protodeclarative pointing, gazemonitoring, pretend play) can be quickly assessed by clinicians during well-baby visits (see Presentation for detaileddescriptions of these items). Pediatricians can facilitate early diagnosis of ASD and related conditions by performing ascreening procedure at every visit, including well-baby check-ups, school examinations, and immunization appointments.[1] emedicine.medscape.com/article/912781-print Assessment of motor and self-care skills in children with ASD is recommended to address clumsiness and sensory issues.[138] If a standardized test to assess sensory processing difficulties is warranted, one of the following tools isrecommended:[139]Sensory Processing Measure - For children aged 5-12 yearsShort Sensory Profile - For children aged 37 months to 9 yearsInfant/Toddler Sensory Profile - For children aged 7-36 months",medscape
67,What are the DSM-5 diagnostic criteria for autism spectrum disorder (ASD)?,"Cultural considerationsOf note are cultural considerations in the evaluation of a child with possible ASD. Cultural and familial differences exist inexpectations regarding eye contact, play, social interaction, and pragmatic use of language. When English is not the family’sprimary language, professionals should be conscious of finding ways to communicate effectively with the family, includingfinding professionals and/or translators who speak the primary language.[140]",medscape
68,Why should patients be referred to autism specialists for a diagnostic evaluation for autism spectrum disorder (ASD)?,"Other disordersOther disorders to consider in the differential diagnosis of ASD are as follows:44,XXX karyotype47 chromosomes(7;20) balanced chromosomal translocationAngelman syndromeDeletion 1p35Duplication of bands 15q11-13Extra bisatellited marker chromosomeHabit disorderInfantile hydrocephalusInterstitial deletion of (17)(p11.2)Inv Dup (15)(pter->q13)Language disorder - Mixed, phonologic, receptive, or stutteringLong Y chromosomeMinamata diseaseMoebius syndromeNonketotic hyperglycinemia (NKH)Partial 6p trisomyEpilepsyInfantile spasmsTourette disorderTrisomy 22Children with lead poisoning may demonstrate neurobehavioral changes. Constipation, abdominal pain, and/or anorexia arecommon. Lead poisoning in children at risk should be ruled out through appropriate testing.",medscape
69,Which screening tests are used to in the diagnostic evaluation for autism spectrum disorder (ASD)?,"Age of onsetASD manifests in early childhood. For information about individuals with later onset of symptoms consistent with ASD, seethe following articles: emedicine.medscape.com/article/912781-print Childhood Disintegrative DisorderRett SyndromePervasive Developmental DisorderMany parents report normal development in their child until age 2 years before noticing the deficits in social andcommunicative skills.",medscape
70,What are cultural considerations when performing a diagnostic evaluation for autism spectrum disorder (ASD)?,Differential DiagnosesAnxiety Disorder: Obsessive-Compulsive DisorderAnxiety Disorder: TrichotillomaniaAttachment DisordersCongenital Rubella SyndromeCornelia De Lange SyndromeCri-du-chat SyndromeDissociative Identity DisorderDown SyndromeEmergent Management of Lead ToxicityFailure to ThriveFragile X SyndromePhysical Child AbusePrader-Willi SyndromeRett SyndromeWilliams SyndromeWorkup Workup,medscape
71,Which conditions are included in the differential diagnoses of autism spectrum disorder (ASD)?,"Approach ConsiderationsSeveral instruments have been developed to diagnose ASD. Administering these tools in a reliable and valid mannerrequires extensive training and experience. Therefore, unless they have considerable experience with children with ASD andunderstand the concepts implicit in the diagnostic criteria and rating scales, pediatricians and other clinicians are advised torefer patients with possible ASD[1] to experienced clinicians for definitive diagnostic evaluations.Experienced clinicians are able to identify particular deficits in children with ASD and institute effective treatments.Identification of the key dimensions characteristic of ASD may be a more accurate means of distinguishing subtypes of thisdisorder.[141]The utilization of broader criteria for ASD will likely result in innovations in the identification of affected children. There willalso likely be further developments in the institution of interventions for this disorder.[32]",medscape
72,Which conditions are included in the differential diagnoses of autism spectrum disorder (ASD) in children older than 30 months?,"Several metabolic abnormalities have been identified in investigations of people with ASD. However, biologic markers for ASD do not yet exist. No blood studies are recommended for the routine assessment of children with ASD.",medscape
73,What are the differential diagnoses for Autism Spectrum Disorder?,"NeuroimagingThere is currently no clinical evidence to support the role of routine clinical neuroimaging in the diagnostic evaluation ofASD, even in the presence of megalencephaly.[3] Studies of various imaging techniques have yielded inconsistent results, emedicine.medscape.com/article/912781-print and although characteristic abnormalities have been identified, no single finding is diagnostic.",medscape
74,How are subtypes of autism spectrum disorder (ASD) differentiated?,"Electroencephalography is useful for ruling out a seizure disorder (present in a third of children with autism spectrum disorder), acquired aphasia with convulsive disorder (Landau-Kleffner syndrome), biotin-responsive infantile encephalopathy, and related conditions.",medscape
75,What is the role of metabolic tests in the workup of autism spectrum disorder (ASD)?,"Psychophysiologic assessment: To show lack of response habituation to repeatedly presented stimuli (in respiratoryperiod, electrodermal activity, vasoconstrictive peripheral pulse amplitude response); auditory overselectivity may beseen",medscape
76,What is the role of neuroimaging in the workup of autism spectrum disorder (ASD)?,"Polysomnography may facilitate the diagnosis of treatable comorbid disorders. Most children with ASD have sleepdisturbances, including early morning awakening, frequent arousals, and fragmented sleep.[142] Additionally, children withASD often display prolonged sleep onset and abnormal sleep architecture. Polysomnography may be useful not only inidentifying sleep disorders, but also in demonstrating seizure discharges.",medscape
77,When is electroencephalography indicated in the workup of autism spectrum disorder (ASD)?,"Practice guidelines from the American Academy of Neurology and the Child Neurology Society recommend genetic testing (eg, with high-resolution chromosome studies and DNA analysis) for fragile X in children with ASD who meet any of the following criteria:[3] The child has an intellectual disability Intellectual disability cannot be excluded There is a family history of fragile X or undiagnosed intellectual disability Dysmorphic features are present",medscape
78,What is the role of psychophysiologic assessment in the workup of autism spectrum disorder (ASD)?,"Magnetic resonance imaging (MRI) studies in patients with ASD yield inconsistent results. However, typical findings includeenlargement of the total brain, the total brain tissue, and the lateral and fourth ventricles, along with reductions in the size ofthe midbrain, the medulla oblongata, the cerebellar hemispheres, and vermal lobules VI and VII.[143, 144] Although vermalhypoplasia is found in some individuals with ASD, vermal hyperplasia is identified in others.[145]The volume of the gray matter is bilaterally decreased in the amygdala, the precuneus, and the hippocampus of people withASD. Adolescents with ASD have shown greater decreases in the volume of the gray matter of the right precuneus thanadults. The volume of the gray matter in the middle-inferior frontal gyrus has been found to be slightly increased in peoplewith ASD.[146]Imaging studies in patients with ASD who exhibit head banging may show enlargement of the diploic space in the parietaland occipital bones, with loss of gray matter adjacent to the bony changes. These findings resemble those of posttraumaticencephalopathy in athletes in contact sports (eg, football, hockey) and professional boxers (dementia pugilistica).In one study, MRI performed during the presentation of a bedtime story during natural sleep in children aged 12-48 monthsprovided evidence of atypical hemispheric lateralization for language in toddlers who develop ASD.[147] Study subjects whodeveloped ASD failed to exhibit the left hemispheric response to spoken language that is typical of normally developingtoddlers and instead demonstrated abnormal right temporal cortical responses.",medscape
79,What is the role of polysomnography in the workup of autism spectrum disorder (ASD)?,"Diffusion tensor imagingOn MRI studies, diffusion tensor imaging can provide information about connections among different brain regions. Childrenwith ASD demonstrated higher values for the apparent diffusion coefficient (ADC) in the whole frontal lobe, as well as thelong and short association fibers of the frontal lobe.[148] emedicine.medscape.com/article/912781-print Children with ASD and their healthy siblings demonstrate significant reductions in fractional anisotropy (FA) in association,commissural, and projection tracts, in contrast to control groups.[149, 150] Alterations in FA in the white matter of the frontal,parietal, and temporal lobes suggest an inherited trait characteristic of a vulnerability to develop ASD.",medscape
80,What is the role of genetic tests in the workup of autism spectrum disorder (ASD)?,"Computed tomographyResults of computed tomography (CT) studies of the head are inconsistent in patients with ASD. However, they may revealdeficits, including enlargement of the ventricles, hydrocephalus, parenchymal lesions, and reduction in size of the caudatenucleus.",medscape
81,What is the role of MRI in the workup of autism spectrum disorder (ASD)?,"Positron emission tomography scanningPositron emission tomography (PET) scanning reveals multiple deficits, but no finding characterizes all people with ASD,and the results vary with each individual.[37, 151]On 18-fluoro-2-deoxyglucose (FDG) PET scans, the anterior rectal gyrus is larger on the left than the right in some patients,a finding opposite to the asymmetry seen in typical individuals. Some individuals also exhibit an increased glucosemetabolic rate in the right posterior calcarine cortex and a decreased glucose metabolic rate in the left posterior putamenand the left medial thalamus.[152]Decreased dopaminergic neurotransmission occurs in the anterior medial prefrontal cortex of children with ASD.[153] The dopamine transporter has been reported to be increased in the orbital frontal cortex of adults with ASD and decreasedin the striatum of children with ASD.[153]Decreased serotonin receptors were observed in the thalami of people with ASD and in the cortices of the parents ofchildren with ASD.[153]Increased metabotropic glutamate receptor type 5 (mGluR5) was demonstrated in the postcentral gyrus and the cerebellumof men with ASD in contrast to age- and sex-matched healthy controls without ASD.[154]See PET Scanning in Autism Spectrum Disorders for further information.",medscape
82,What is the role of diffusion tensor imaging in the workup of autism spectrum disorder (ASD)?,"Chiron and colleagues found that the normal asymmetry of regional cerebral blood flow (ie, higher in the left hemisphere in right-handed individuals) was lacking in some people with ASD. Tests of regional cerebral blood flow with xenon-133 (133 Xe) revealed left-hemispheric dysfunction, especially in the cortical areas devoted to language and handedness.[155] Regional cerebral blood flow assessed with technetium-99m (99m Tc) labeled to hexamethylpropyleneamine oxide (HMPAO), a lipophilic substance, in children with ASD demonstrates variable anomalies, including reductions in the vermis, the cerebellar hemispheres, the thalami, the basal ganglia, and the parietal and temporal lobes. These findings suggest that no single abnormality characterizes all individuals with ASD.",medscape
83,What is the role of CT scanning in the workup of autism spectrum disorder (ASD)?,"Electroencephalography (EEG) is useful for ruling out seizure disorder (present in a third of children with ASD), acquired aphasia with convulsive disorder (Landau-Kleffner syndrome), biotin-responsive infantile encephalopathy, and related conditions. The American Academy of Neurology and the Child Neurology Society found inadequate evidence to recommend an electroencephalogram (EEG) in all individuals with ASD.[3] Consultation with an electroencephalographer may help to determine appropriate procedures for individual cases. A single normal EEG does not rule out a paroxysmal abnormality, such as a seizure disorder. When a routine EEG does not reveal unequivocal evidence of a seizure disorder in a patient who may have one (eg, partial seizures with complex symptomatology), specialized procedures may help to clarify the diagnosis. Measurements of electroencephalographic activity after sleep deprivation and after stimulation with light, noise, and tactile sensations using nasopharyngeal leads, as well as the use of video monitoring simultaneously with electroencephalography, may be helpful in such cases. Neurologic consultation can also be beneficial. Indications for performing a sleep-deprived EEG with appropriate sampling of slow-wave sleep in patients with ASD are clinical seizures (or suspicion of subclinical seizures) and clinically significant loss of social and communicative function, especially in toddlers and preschoolers.[3] Admission to a specialized unit for simultaneous 24-hour video monitoring of electroencephalography and movement of the patient for a few days of assessment may facilitate the establishment of or the exclusion",medscape
84,What is the role of PET scanning in the workup of autism spectrum disorder (ASD)?,"Approach ConsiderationsSeveral instruments have been developed to diagnose ASD. Administering these tools in a reliable and valid mannerrequires extensive training and experience. Therefore, unless they have considerable experience with children with ASD andunderstand the concepts implicit in the diagnostic criteria and rating scales, pediatricians and other clinicians are advised torefer patients with possible ASD[1] to experienced clinicians for definitive diagnostic evaluations.Experienced clinicians are able to identify particular deficits in children with ASD and institute effective treatments.Identification of the key dimensions characteristic of ASD may be a more accurate means of distinguishing subtypes of thisdisorder.[141]The utilization of broader criteria for ASD will likely result in innovations in the identification of affected children. There willalso likely be further developments in the institution of interventions for this disorder.[32]",medscape
85,What is the role of SPECT scanning in the workup of autism spectrum disorder (ASD)?,"Inpatient Psychiatric CareIn December 2015, an expert panel released 11 consensus statements on best practices for inpatient care of children withASD. The panel recommends that children with ASD or intellectual disability (ID) can be treated in general inpatientpsychiatric units, with specific accommodations. The recommendations also set out the information that should be obtainedfrom children on admission, including the child's preferences, means of communication, reinforcement items, and sensorysensitivities. Also emphasized is the importance of screening for co-occurring medical and psychiatric conditions.[160]",medscape
86,What is the role of electroencephalography in the workup of autism spectrum disorder (ASD)?,"Special EducationSpecial education is central to the treatment of ASD. Although parents may choose to use various experimental treatments,including medication, they should concurrently use intensive individual special education by an educator familiar withinstructing children who have ASD or a related condition. Intensive behavioral interventions, instituted as early as possible,are indicated for every child in whom ASD is suspected.[161, 162]The Education for All Handicapped Children Act of 1975 requires free and appropriate public education for all children,regardless of the extent and severity of their handicaps. Amendments to the Education of the Handicapped Act of 1986extended the requirement for free and appropriate education to children aged 3–5 years.Pediatricians and parents cannot assume, however, that their community’s school will provide satisfactory education for achild with ASD or a related condition. The Individuals with Disabilities Education Act authorized states to determine how toprovide educational services to children younger than 3 years. Pediatricians and parents need to determine the best way toproceed with local agencies.Legal assistance may be necessary to influence a board of education to fund appropriate education for a child with ASD or arelated condition. The Autism Society maintains a Web site and offers a toll-free hotline (1-800-3-AUTISM/1-800-328-8476).This resource provides information and referral services to the public.",medscape
87,How is autism spectrum disorder (ASD) treated?,"Speech, Behavioral, Occupational, and Physical Therapies emedicine.medscape.com/article/912781-print Therapies that are reported to help some individuals with autism spectrum disorder include the following:Assisted communication - Using keyboards, letter boards, word boards, and other devices (eg, the Picture ExchangeCommunication System[163] ), with the assistance of a therapistAuditory integration training - A procedure in which the individual listens to specially prepared sounds throughheadphonesSensory integration therapy - A treatment for motor and sensory motor problems typically administered byoccupational therapistsExercise and physical therapy - Exercise is often therapeutic for individuals with autistic disorder; a regular programof activity prescribed by a physical therapist may be helpfulIn addition, social skills training helps some children with ASD, including those with comorbid anxiety disorders.[8]In a 2-year randomized, controlled trial, children who received the Early Start Denver Model (ESDM), a comprehensivedevelopmental behavioral intervention for improving outcomes of toddlers diagnosed with ASD, showed significantimprovements in IQ, adaptive behavior, and autism diagnosis compared with children who received intervention commonlyavailable in the community.[164] A follow-up electroencephalographic study showed normalized patterns of brain activity inthe ESDM group.151 Starting intervention at an earlier age and providing a greater number of intervention hours bothrelated to the degree of improvement in children's behavior.[165]",medscape
88,When is inpatient psychiatric care indicated for autism spectrum disorder (ASD)?,"Cognitive behavior therapy (CBT)Cognitive behavior therapy (CBT) is a technique that has been valuable for people with anxiety disorders, including socialanxiety disorder. Individuals with ASD and social anxiety underwent CBT to address negative thoughts and social situationsprovoking anxiety to develop effective behavioral techniques. CBT represents a promising psychological treatment forpeople with ASD and social anxiety.[166]",medscape
89,What is the role of special education in the treatment of autism spectrum disorder (ASD)?,Family therapyLiving with a person with ASD can be stressful for family members. Talking therapy to ameliorate conflicts among peoplewith ASD and other family members has been reported to be beneficial to people with ASD and to family members.Research is needed to assess family therapy for people with ASD.[167],medscape
90,"Which types of speech, occupational and physical therapies are used in the treatment of autism spectrum disorder (ASD)?","Practices such as Qigong benefit children with ASD by reducing the severity of sensory, behavioral, and language dysfunction.[168, 169]",medscape
91,What is the role of CBT in the treatment of autism spectrum disorder (ASD)?,"Diet When compared with their typically developing (TD) peers, children with ASD are significantly more likely to experience GIproblems and food allergies. According to one study, children with ASD were 6 to 8 times more likely to report frequentgas/bloating, constipation, diarrhea, and sensitivity to foods than TD children. Researchers also discovered a link betweenGI symptoms and maladaptive behavior in children with ASD. When these children had frequent GI symptoms, they showedworse irritability, social withdrawal, stereotypy, and hyperactivity compared with those without frequent symptoms.[170, 171]Individuals with or without ASD need 3 well-balanced meals daily. Dietary consultation may be useful to evaluate thebenefits of special diets, including those lacking gluten and casein. Vitamin B-6 and magnesium are among the vitamins andminerals hypothesized to help some patients.[172]In a randomized, double-blind, placebo-controlled trial, 3 months of treatment with a vitamin/mineral supplement producedstatistically significant improvement in the nutritional and metabolic status of children with ASD. In addition, the supplementgroup had significantly greater improvements than did the placebo group in its Parental Global Impressions-Revised (PGI-R)Average Change scores.[173]Additionally, preclinical and clinical studies indicate that dietary phenols alleviate symptoms of ASD.[174]",medscape
92,What is the role of family therapy in the treatment of autism spectrum disorder (ASD)?,"Pharmacologic TreatmentAlthough 70% of children with ASD receive medications, only limited evidence exists that the beneficial effects outweigh theadverse effects.[175] No pharmacologic agent is effective in the treatment of the core behavioral manifestations of ASD, butdrugs may be effective in treating associated behavioral problems and comorbid disorders.[176, 177] emedicine.medscape.com/article/912781-print The second-generation antipsychotic agents risperidone and aripiprazole provide beneficial effects on challenging andrepetitive behaviors in children with ASD, although these patients may experience significant adverse effects.[178]Risperidone and aripiprazole have been approved by the US Food and Drug Administration (FDA) for irritability associatedwith ASD. The second-generation antipsychotic agent ziprasidone may help to control aggression, irritability, and agitation.[179]Serotonergic drugs are reportedly beneficial for improving behavior in ASD. Hyperactivity often improves withmethylphenidate therapy.Additionally, treatments may be indicated for an underlying condition. For example, children with biotin-responsive infantileencephalopathy improve with the addition of biotin.",medscape
93,Which dietary modifications are used in the treatment of autism spectrum disorder (ASD)?,"SSRIsSelective serotonin reuptake inhibitors (SSRIs) are widely prescribed for children with ASD and related conditions. Beneficialeffects on children and adolescents with ASD have been reported with fluoxetine,[180] escitalopram,[181] and citalopram.[182, 183]On the other hand, a multicenter, randomized, controlled trial by King and colleagues in 149 children with ASD found nodifference between citalopram and placebo among children rated as much improved or very much improved. Participants inthe treatment arm received liquid citalopram daily for 12 weeks at a mean maximum daily dose of 16.5 mg (maximum 20mg). Nearly all the citalopram recipients reported adverse effects (eg, impulsiveness, hyperactivity, diarrhea).[184]Serotonin syndromeChildren with ASD are at risk of developing a serotonin syndrome when treated with serotonergic agents. Therefore, childrenwho are treated with serotonergic agents should be evaluated at baseline before beginning treatment and then regularlyevaluated for symptoms of a serotonin syndrome using the serotonin syndrome checklist. See the image below for aprintable version.Serotonin syndrome checklist.",medscape
