name,state,city,county,contact info
Arc Manistee,Michigan,Manistee,Manistee,"Arc Manistee
PO Box 545
Manistee, MI 49660-0545
beldridg@manistee-net.com
(231) 723-6205"
Arc Muskegon,Michigan,Muskegon,Muskegon,"Arc Muskegon
1145 Wesley Ave
Muskegon, MI 49442-2100
info@arcmuskegon.org
(231) 777-2006"
Arc Newaygo County,Michigan,Fremont,Newaygo,"Arc Newaygo County
5646 W 72nd St
Fremont, MI 49412-7515
maggie@arckent.org
(616) 924-5840"
Arc Ogemaw County,Michigan,Roscommon,Ogemaw,"Arc Ogemaw County
117 Somerset Ter
Roscommon, MI 48653-8748
girardih@yahoo.com
(989) 275-9563"
Arc Services of Macomb,Michigan,Clinton Township,Macomb,"Arc Services of Macomb
44050 N Gratiot Ave
Clinton Twp, MI 48036-1308
arcservices@arcservices.org
(586) 469-1600"
Autism Resource Network of Northwest Michigan,Michigan,Michigan,N/A,By Website
Autism Society of Michigan,Michigan,Okemos,Ingham,800-223-6722
Autism Speaks of Michigan,Michigan,N/A,N/A,By Website
Community Advocates,Michigan,Kalamazoo,Kalamazoo,"Community Advocates
814 S Westnedge Ave
Kalamazoo, MI 49008-1162
contact@communityadvocates.org
(269) 342-9801"
The Arc Allegan,Michigan,Allegan,Allegan,"The Arc Allegan
219 Hubbard St
Allegan, MI 49010-1382
arcallegan@frontier.com
(269) 673-8841"
The Arc Arenac Area,Michigan,Standish,Arenac,"The Arc Arenac Area
PO Box 805
Standish, MI 48658-0805
ARC.Arenac@gmail.com"
The Arc Bay County,Michigan,Bay City,Bay,"The Arc Bay County
3106 E Riverview Dr
Bay City, MI 48706-1321
(989) 893-1346"
The Arc Dearborn/Dearborn Heights,Michigan,Dearborn,Wayne,"The Arc Dearborn/Dearborn Heights
22450 Park St
Dearborn, MI 48124-2730
info@thearcdearborn.org
(313) 562-1787"
The Arc Delta County,Michigan,Escanaba,Delta,"The Arc Delta County
PO Box 651
Escanaba, MI 49829-0651
(906) 786-9212"
The Arc Detroit,Michigan,Detroit,Wayne,"The Arc Detroit
51 W Hancock St
Detroit, MI 48201-1303
thearcdetroit@aol.com
(313) 831-0202"
The Arc Grosse Pointe/Harper Woods,Michigan,Grosse Pointe,Wayne,"The Arc Grosse Pointe/Harper Woods
PO Box 36130
Grosse Pointe, MI 48236-0130
(313) 885-5928"
The Arc Kent County,Michigan,Grand Rapids,Kent,"The Arc Kent County
629 Michigan St NE Ste D
Grand Rapids, MI 49503-3587
info@arckent.org
(616) 459-3339"
The Arc Livingston,Michigan,Howell,Livingston,"The Arc Livingston
1044 Durant Dr Ste 1
Howell, MI 48843-9536
pnowak@arclivingston.org
(517) 546-1228"
The Arc of Calhoun County,Michigan,Battle Creek,Calhoun,"The Arc of Calhoun County
217 Hamblin Ave W Ste A
Battle Creek, MI 49037-8547
info@thearccalhoun.org
(269) 966-2575"
The Arc of Central Michigan,Michigan,Mount Pleasant,Isabella,"The Arc of Central Michigan
PO Box 171
Mt Pleasant, MI 48804-0171
info@arcofcentralmi.org
(989) 773-8765"
The Arc of Michigan,Michigan,Lansing,Ingham,800-292-7852
The Arc of Mid-Michigan,Michigan,Owosso,Shiawasee,"The Arc of Mid-Michigan
PO Box 63
Owosso, MI 48867
arcshia@michonline.net
(989) 723-7377"
The Arc of Midland,Michigan,Midland,Midland,"The Arc of Midland
220 W Main St Ste 101
Midland, MI 48640-5184
arcadmin@thearcofmidland.org
(989) 631-4439"
The Arc of Northwest Wayne County,Michigan,Redford,Wayne,"The Arc of Northwest Wayne County
26049 Five Mile Road
Redford, MI 48239
info@thearcnw.org
(313) 532-7915"
The Arc of Oakland County,Michigan,Troy,Oakland,"The Arc of Oakland County
1641 W Big Beaver Rd
Troy, MI 48084-3501
info@thearcoakland.org
(248) 816-1900"
The Arc of St. Clair County,Michigan,Port Huron,St. Clair,"The Arc of St. Clair County
1033 26th St
Port Huron, MI 48060-4853
info@thearcscc.org
(810) 982-3261"
The Arc of Western Wayne County,Michigan,Westland,Wayne,"The Arc of Western Wayne County
2257 S Wayne Rd
Westland, MI 48186-5432
(734) 729-9100"
The Arcadia Institute,Michigan,Kalamazoo,Kalamazoo,"The Arcadia Institute
225 Parsons Street
Kalamazoo, MI 49007
269-254-8224"
The Mon-Arc of Monroe,Michigan,Monroe,Monroe,"The Mon-Arc of Monroe
752 S Monroe St Ste B
Monroe, MI 48161-1430
arcmonroe@sbcglobal.net
(734) 241-5881"
The Statewide Autism Resources and Training (START) Project,Michigan,Grand Rapids,Kent,616-331-6480
Van Buren Arc,Michigan,Bangor,Van Buren,"Van Buren Arc
30755 White Oak Dr
Bangor, MI 49013-9521
(616) 427-5056"
Arc Freeborn County,Minnesota,Albert Lea,Freeborn,"Arc Freeborn County
407 E William St
Albert Lea, MN 56007-2964
jlowe@deskmedia.com
(507) 377-3469"
Arc Greater Twin Cities,Minnesota,St. Paul,Ramsey,"Arc Greater Twin Cities
2446 University Ave W Ste 110
Saint Paul, MN 55114-1740
denafelper@arcgreatertwincities.org
(952) 915-3634"
Arc Kandiyohi County,Minnesota,Willmar,Kandiyohi,"Arc Kandiyohi County
200 4th St SW Ste 25
Willmar, MN 56201-3368
arckandi@clearwire.net
(320) 231-1777"
Arc Midstate,Minnesota,St. Cloud,Stearns,"Arc Midstate
PO Box 251
Saint Cloud, MN 56302-0251
outreach@ArcMidstate.org
(877) 251-7272"
Arc Mower County,Minnesota,Austin,Mower,"Arc Mower County
401 2nd Ave NE
Austin, MN 55912-3418
office@arcmowercounty.org
(507) 433-8994"
Arc Northland,Minnesota,Duluth,Saint Louis,"Arc Northland
424 W Superior St Ste 201
Duluth, MN 55802-1542
lkuehnow@arcnorthland.org
(218) 726-4725"
Arc of Southwest Minnesota,Minnesota,Mankato,Blue Earth,"Arc of Southwest Minnesota
709 S Front St Ste 3
Mankato, MN 56001-3887
(507) 345-4223"
Arc of West Central Minnesota,Minnesota,Moorhead,Clay,"Arc of West Central Minnesota
810 4th Ave S Ste 134
Moorhead, MN 56560-2800
arcwcm@702com.net
(218) 233-5949"
Arc Range,Minnesota,Eveleth,Saint Louis,"Arc Range
PO Box 433
Eveleth, MN 55734-0433
miko@2z.net"
Arc Southeastern Minnesota,Minnesota,Rochester,Olmsted,"Arc Southeastern Minnesota
6301 Bandel Rd NW Ste 605
Rochester, MN 55901-8660
mail@arcse-mn.org
(507) 287-2032"
Arc Stevens County,Minnesota,Morris,Stevens,"Arc Stevens County
19032 480th Ave
Morris, MN 56267-4401
harri0088@tc.umn.edu
(320) 589-3096"
Autism Society of Minnesota,Minnesota,St. Paul,Ramsey,651-647-1083
Easter Seals of Minnesota,Minnesota,N/A,N/A,By Website
Fraser Autism Center,Minnesota,Minneapolis,Hennepin,612-798-8317
Holland Center,Minnesota,Minnetonka,Hennepin,952-401-9359
Minnesota Autism Center,Minnesota,Minnetonka,Hennepin,952-767-4214
The Arc of Minnesota,Minnesota,St. Paul,Ramsey,615-523-0823
The Arc United,Minnesota,St. Cloud,Stearns,"The Arc United
6112 - 322nd St.
St. Cloud, MN 56303
ArcCentral5@aol.com
(320) 240-9550"
Adams County Arc,Mississippi,Natchez,Adams,"Adams County Arc
PO Box 1362
Natchez, MS 39121-1362
(601) 442-2264"
Arc of Southwest Mississippi,Mississippi,McComb,Pike,"Arc of Southwest Mississippi
PO Box 590
McComb, MS 39649-0590
(601) 684-7825"
Autism Society of Mississippi,Mississippi,N/A,N/A,By Website
Clay County Arc,Mississippi,West Point,Clay,"Clay County Arc
PO Box 613
West Point, MS 39773-0613
(662) 494-6051"
Easter Seals of Mississippi,Mississippi,N/A,N/A,By Website
Gulf Coast Autism Project – Univ. of So. Miss.,Mississippi,Hattiesburg,Forrest,228-863-1755
Pearl River Arc,Mississippi,Picayune,Pearl River,"Pearl River Arc
PO Box 1816
Picayune, MS 39466-1816
carlieo@bellsouth.net"
The Arc Jones County,Mississippi,Laurel,Jones,"The Arc Jones County
PO Box 1233
Laurel, MS 39441-1233
(601) 426-2944"
The Arc of Lowndes County,Mississippi,Columbus,Lowndes,"The Arc of Lowndes County
PO Box 5387
Columbus, MS 39704-5387
arclowndescounty@hotmail.com
(662) 245-1323"
The Arc of Mississippi,Mississippi,Jackson,Hinds,800-717-1180
The Arc of Northeast Mississippi,Mississippi,Booneville,Prentiss,"The Arc of Northeast Mississippi
4411 County Road 601
Booneville, MS 38829-9279
arc@dixie-net.com
(662) 993-9486"
The Arc of Southeast Mississippi,Mississippi,Hattiesburg,Forrest,"The Arc of Southeast Mississippi
PO Box 18800
Hattiesburg, MS 39404-8800
Info@HattiesburgARC.com
(601) 583-4251"
The Arc of the Gulf Coast,Mississippi,Gulfport,Harrison,"The Arc of the Gulf Coast
PO Box 6651
Gulfport, MS 39506-6651
gcsrc@email.com
(228) 868-9755"
Washington County Arc,Mississippi,Greenville,Washington,"Washington County Arc
PO Box 1733
Greenville, MS 38702-1733
johnsonwork@suddenlink.net
(662) 332-3271"
Autism Center – Southeast Missouri State University,Missouri,Cape Girardeau,Cape Girardeau,573-986-4985
Autism Society of Missouri,Missouri,St. Louis,St. Louis,314-749-7225
Autism Speaks of Missouri,Missouri,St. Louis,St. Louis,314-989-1103
Easter Seals Midwest,Missouri,St. Louis,St. Louis,"10176 Corporate Square Drive, Suite 150
St. Louis, MO 63132
314-432-6200"
St. Louis Arc,Missouri,St. Louis,St. Louis,"St. Louis Arc
1177 N. Warson Rd.
St. Louis, MO 63132
314-569-2211"
St. Louis Arc,Missouri,St. Louis,St. Louis,"St. Louis Arc
1177 N Warson Rd
Saint Louis, MO 63132-1810
lcarson@slarc.org
(314) 569-2211"
The Arc of Clay and Platte Counties,Missouri,Gladstone,Clay,"The Arc of Clay and Platte Counties
7400-C N Oak Trfy
Gladstone, MO 64118-1747
arcofclayplatte@yahoo.com
(816) 436-3009"
The Arc of Missouri,Missouri,Linn Creek,Camden,By Website
The Arc of the Lake,Missouri,Kaiser,Miller,"The Arc of the Lake
425 Highway 42
Kaiser, MO 65047-2001
skulavic@arcofthelake.org
(573) 302-1700"
The Arc of the Ozarks,Missouri,Springfield,Greene,"The Arc of the Ozarks
1501 E Pythian St
Springfield, MO 65802-2139
jfoley@thearcoftheozarks.org
(417) 864-7887"
Autism Speaks of Montana,Montana,N/A,N/A,By Website
"AWARE, Inc.",Montana,Anaconda,Deer Lodge,"AWARE, Inc.
205 E. Park Ave.
Anaconda, MT 59711
info@aware-inc.org
(406) 563-8117"
Easter Seals of Montana,Montana,Billings,Yellowstone,By Website
Autism Action Partnership,Nebraska,Nebraska,N/A,By Website
Autism Society of Nebraska,Nebraska,Lincoln,Lancaster,800-580-9279
Autism Speaks of Nebraska,Nebraska,Nebraska,N/A,By Website
Easter Seals of Nebraska,Nebraska,Omaha,Douglas,800-650-9880
The Arc Hamilton-Merrick Counties,Nebraska,Aurora,Hamilton,"The Arc Hamilton-Merrick Counties
915 P St
Aurora, NE 68818-1246
(402) 694-3519"
The Arc of Adams-Clay,Nebraska,Hastings,Adams,"The Arc of Adams-Clay
PO Box 86
Hastings, NE 68902-0086
jayemaye@hotmail.com"
The Arc of Buffalo County,Nebraska,Kearney,Buffalo,"The Arc of Buffalo County
4511 6th Ave Ste 204
Kearney, NE 68845-3489
arcofbuffalocounty@frontiernet.net
(308) 237-4343"
The Arc of Central Nebraska,Nebraska,Grand Island,Hall,"The Arc of Central Nebraska
2210 Gateway Ave
Grand Island, NE 68803-2243
(308) 384-6876"
The Arc of Colfax County,Nebraska,Howells,Colfax,"The Arc of Colfax County
PO Box 99
Howells, NE 68641-0099
butchdot1172@dtnspeed.net
(402) 352-2879"
The Arc of Lincoln,Nebraska,Lincoln,Lancaster,"The Arc of Lincoln
5609 S 49th St Ste 5
Lincoln, NE 68516-2513
info@arclincoln.org
(402) 421-8866"
The Arc of Nebraska,Nebraska,Lincoln,Lancaster,402-475-4407
The Arc of Norfolk,Nebraska,Norfolk,Madison,"The Arc of Norfolk
PO Box 32
Norfolk, NE 68702-0032
arcnorfolk@conpoint.com
(402) 379-1160"
The Arc of Omaha at the Ollie Webb Center,Nebraska,Omaha,Douglas,"The Arc of Omaha at the Ollie Webb Center
1941 South 42nd Street, Suite 122
Omaha, NE 68105-2942
info@olliewebbinc.org
(402) 346-5220"
The Arc of Platte County,Nebraska,Columbus,Platte,"The Arc of Platte County
3020 18th St Ste 9
Columbus, NE 68601-4254
arcpc@megavision.com
(402) 563-1699"
The Arc of Seward,Nebraska,Seward,Seward,"The Arc of Seward
PO Box 24
Seward, NE 68434-0024
(402) 761-3462"
Autism Coalition of Nevada,Nevada,Nevada,N/A,775-329-2268
Early Childhood Autism Program,Nevada,Reno,Washoe,775-682-8687
Easter Seals of Nevada,Nevada,Las Vegas,Clark,By Website
The Arc in Nevada,Nevada,Reno,Washoe,"The Arc in Nevada
3983 S. McCarran Blvd., #311
Reno, NV 89502
schomberg@thearc.org
(800) 433-5255 Ext 3260"
Autism Speaks of New Hampshire,New Hampshire,New Hampshire,N/A,By Website
Concord Regional Arc,New Hampshire,Concord,Merrimack,"Concord Regional Arc
PO Box 1173
Concord, NH 03302-1173
(603) 228-8279"
Easter Seals of New Hampshire,New Hampshire,Manchester,Hillsborough,800-870-8728
The Arc of Greater Manchester,New Hampshire,Manchester,Hillsborough,"The Arc of Greater Manchester
PO Box 3363
Manchester, NH 03105-3363
president@arcmanchester.org
(603) 434-2738"
"Allies, Inc.",New Jersey,New Jersey,N/A,By Website
Autism New Jersey,New Jersey,Robbinsville,Mercer,609-588-8200
Autism Speaks of New Jersey,New Jersey,Stockton,Hunterdon,609-228-7315
Easter Seals of New Jersey,New Jersey,East Brunswick,Middlesex,732-257-6662
SCARC,New Jersey,Augusta,Sussex,"SCARC
11 US Route 206, Suite 100
Augusta, NJ 07822
joeweh@ptd.net
(973) 383-7442"
The Arc Gloucester,New Jersey,West Deptford,Gloucester,"The Arc Gloucester
1555 Gateway Blvd
West Deptford, NJ 08096-1018
arivera@thearcgloucester.org
(856) 848-8648"
The Arc Mercer,New Jersey,Ewing,Mercer,"The Arc Mercer
180 Ewingville Rd
Ewing, NJ 08638-2425
sbthompson@arcmercer.org
(609) 406-0181 Ext 161"
The Arc Morris,New Jersey,Morris Plains,Morris,"The Arc Morris
PO Box 123
Morris Plains, NJ 07950-0123
info@arcmorris.org
(973) 326-9750"
The Arc of Atlantic County,New Jersey,Egg Harbor Township,Atlantic,"The Arc of Atlantic County
6550 Delilah Rd Ste 101
Egg Harbor Township, NJ 08234-5102
info@arcatlantic.org
(609) 485-0800"
The Arc of Bergen and Passaic Counties,New Jersey,Hackensack,Bergen,"The Arc of Bergen and Passaic Counties
223 Moore St
Hackensack, NJ 07601-7402
arc@arcbp.com
(201) 343-0322"
The Arc of Burlington,New Jersey,Burlington,Burlington,"The Arc of Burlington
115 E Broad St
Burlington, NJ 08016-1515
arlenem@arcofburlington.org
(856) 764-9494"
The Arc of Camden,New Jersey,Berlin,Camden,"The Arc of Camden
215 W White Horse Pike
Berlin, NJ 08009-1132
arcotc@arccamden.org
(856) 767-3650"
The Arc of Cape May County,New Jersey,South Dennis,Cape May,"The Arc of Cape May County
PO Box 255
South Dennis, NJ 08245-0255
support@arcofcapemay.org
(609) 861-7100"
The Arc of Cumberland County,New Jersey,Vineland,Cumberland,"The Arc of Cumberland County
1680 W Sherman Ave
Vineland, NJ 08360-6917
justeiner@verizon.net
(856) 691-9138"
The Arc of Essex County,New Jersey,Livingston,Essex,"The Arc of Essex County
123 Naylon Ave
Livingston, NJ 07039-1005
info@Arcessex.org
(973) 535-1181"
The Arc of Hudson County,New Jersey,Union City,Hudson,"The Arc of Hudson County
405-409 36th Street
Union City, NJ 07087
ncabana.arc@verizon.net
(201) 319-9229"
The Arc of Hunterdon County,New Jersey,Annandale,Hunterdon,"The Arc of Hunterdon County
1465 State Highway 31 S, Suite 23
Annandale, NJ 08801
jeff@archunterdon.org
(908) 730-7827"
The Arc of Middlesex County,New Jersey,North Brunswick,Middlesex,"The Arc of Middlesex County
219 Black Horse Ln Ste 1
N Brunswick, NJ 08902-4301
info@arc-middlesex.org
(732) 821-1199"
The Arc of Monmouth,New Jersey,Tinton Falls,Monmouth,"The Arc of Monmouth
1158 Wayside Rd
Tinton Falls, NJ 07712-3148
info@arcofmonmouth.org
(732) 493-1919"
The Arc of New Jersey,New Jersey,North Brunswick,Middlesex,732-246-2525
The Arc of Salem County,New Jersey,Salem,Salem,"The Arc of Salem County
PO Box 5
Salem, NJ 08079-0005
tackonehen@msn.com
(856) 935-3600"
The Arc of Somerset County,New Jersey,Manville,Somerset,"The Arc of Somerset County
141 S Main St
Manville, NJ 08835-1803
christopherc@thearcofsomerset.org
(908) 725-8544 Ext 610"
The Arc of Union County,New Jersey,Springfield,Union,"The Arc of Union County
52 Fadem Rd
Springfield, NJ 07081-3116
info@arcunion.org
(973) 315-0050"
The Arc Warren County Chapter,New Jersey,Washington,Warren,"The Arc Warren County Chapter
42 Millbrook Rd
Washington, NJ 07882-3548
Info@arcwarren.org
(908) 689-7525"
"The Arc, Ocean County Chapter",New Jersey,Lakewood,Ocean,"The Arc, Ocean County Chapter
815 Cedar Bridge Ave
Lakewood, NJ 08701-4932
info@arcocean.org
(732) 363-3335"
ARCA,New Mexico,Albuquerque,Bernalillo,"ARCA
11300 Lomas Blvd NE
Albuquerque, NM 87112-5512
(505) 332-6700"
Autism Society of New Mexico,New Mexico,Albuquerque,Bernalillo,505-332-0306
Autism Speaks of New Mexico,New Mexico,New Mexico,N/A,By Website
New Mexico Autism Resources,New Mexico,New Mexico,N/A,By Website
The Arc of New Mexico,New Mexico,Albuquerque,Bernalillo,800-358-6493
The Arc of San Juan County,New Mexico,Farmington,San Juan,"The Arc of San Juan County
200 West Broadway
Farmington, NM 87401
thearc@arcsanjuancounty.org
(505) 325-8998"
Adirondack ARC,New York,Tupper Lake,Franklin,"Adirondack ARC
12 Mohawk St
Tupper Lake, NY 12986-1028
info@adirondackarc.org
(518) 359-3351"
AHRC New York City,New York,New York,New York,"AHRC New York City
83 Maiden Ln
New York, NY 10038-4812
webmaster@ahrcnyc.org
(212) 780-2500"
Allegany Arc,New York,Wellsville,Allegany,"Allegany Arc
240 Oconnor St
Wellsville, NY 14895-1055
mike.damiano@alleganyarc.org
(585) 593-5700"
Arc of Oswego County,New York,Fulton,Oswego,"Arc of Oswego County
7 Morrill Pl
Fulton, NY 13069-1530
lclay@oswegoind.org
(315) 598-3108"
Arc of Yates,New York,Penn Yan,Yates,"Arc of Yates
235 North Ave
Penn Yan, NY 14527-1051
info@arcofyates.org
(315) 536-7447"
Autism Society of Central New York,New York,Dewitt,Onondaga,315-447-4466
Autism Speaks of New York,New York,New York,New York,By Website
Autism/NY Department Of Health,New York,Albany,Albany,By Website
Benevolent Society (Staten Island) Arc,New York,Staten Island,New York,"Benevolent Society (Staten Island) Arc
1150 Forest Hill Rd Bldg L
Staten Island, NY 10314-6316
J4MSULLY@verizon.net
(609) 448-8306"
Bronx Developmental Center Arc,New York,Bronx,New York,"Bronx Developmental Center Arc
2400 Halsey St
Bronx, NY 10461-3646
(718) 430-0700"
Broome Tioga Arc,New York,Binghamton,Broome,"Broome Tioga Arc
125 Cutler Pond Rd
Binghamton, NY 13905-1564
achieveny@achieveny.org
(607) 723-8361"
Cattaraugus Arc,New York,Olean,Cattaraugus,"Cattaraugus Arc
1439 Buffalo St
Olean, NY 14760-1140
trcinfo@rehabcenter.org
(716) 375-4747"
Chemung ARC,New York,Elmira,Chemung,"Chemung ARC
711 Sullivan St
Elmira, NY 14901-2322
mad@chemungarc.org
(607) 734-6151"
Clinton ARC,New York,Plattsburgh,Clinton,"Clinton ARC
231 New York Rd
Plattsburgh, NY 12903-4425
jbailey@cviarc.org
(518) 563-0930"
Columbia ARC,New York,Mellenville,Columbia,"Columbia ARC
PO Box 2
Mellenville, NY 12544-0002
info@coarc.org
(518) 672-4451"
Community League Wassaic Arc,New York,Beacon,Dutchess,"Community League Wassaic Arc
1 South St
Beacon, NY 12508-2819
rosemary@communityleagueny.org
(845) 838-0515"
Dutchess Arc,New York,Pleasant Valley,Dutchess,"Dutchess Arc
1435 Route 44
Pleasant Valley, NY 12569-7812
info@dutchess-arc.org
(845) 635-8084"
Erie Arc,New York,Buffalo,Erie,"Erie Arc
101 Oak St
Buffalo, NY 14203-2233
info@heritagecenters.org
(716) 856-4201"
Essex ARC,New York,Port Henry,Essex,"Essex ARC
10 St Patrick Pl
Port Henry, NY 12974-1200
dmccarthy@mountainlakeservices.org
(518) 546-3381"
Fulton ARC,New York,Gloversville,Fulton,"Fulton ARC
127 E State St
Gloversville, NY 12078-1204
info@lexcenter.org
(518) 762-0024"
Genesee Arc,New York,Batavia,Genesee,"Genesee Arc
PO Box 988
Batavia, NY 14021-0988
genarc@rochester.rr.com
(585) 343-1123"
Herkimer Arc,New York,Herkimer,Herkimer,"Herkimer Arc
PO Box 271
Herkimer, NY 13350-0271
info@herkimerarc.org
(315) 866-2920"
Jefferson Rehabilitation Center,New York,Watertown,Jefferson,"Jefferson Rehabilitation Center
Box 41 Gaffney Dr.
Watertown, NY 13601
JRC@jeffrehabcenter.org
(315) 788-2730"
Madison/Cortland ARC,New York,Oneida,Madison,"Madison/Cortland ARC
701 Lenox Ave
Oneida, NY 13421-1500
mcarc@madisoncortlandarc.org
(315) 363-3389"
Montgomery ARC,New York,Amsterdam,Montgomery,"Montgomery ARC
43 Liberty Dr
Amsterdam, NY 12010-5635
info@libertyarc.org
(518) 842-5080"
Nassau AHRC,New York,Glen Head,Nassau,"Nassau AHRC
189 Wheatley Rd
Glen Head, NY 11545-2641
info@ahrc.org
(516) 626-1000 Ext 1138"
New York Autism Resources,New York,New York,N/A,By Website
"NYSARC, INC.",New York,Delmar,Albany,518-439-8311
Ontario Arc,New York,Canandaigua,Ontario,"Ontario Arc
3071 County Complex Dr
Canandaigua, NY 14424-9505
jbognanno@frontiernet.net
(585) 394-7500"
Opportunities Unlimited of Niagara,New York,Niagara Falls,Niagara,"Opportunities Unlimited of Niagara
LPO Box 360
Niagara Falls, NY 14304-0360
info@opportunitiesunlimited.org
(716) 297-6400"
Orange County AHRC,New York,Newburgh,Orange,"Orange County AHRC
249 Broadway
Newburgh, NY 12550-5452
supportservices@orangeahrc.org
(845) 561-0670"
PARC,New York,Brewster,Putnam,"PARC
31 International Blvd
Brewster, NY 10509-2343
info@putnamarc.org
(845) 278-7272"
Rome Tri-County Arc,New York,Rome,Oneida,"Rome, NY 13440
(315) 853-5479"
"Saratoga Bridges, NYSARC",New York,Ballston Spa,Saratoga,"Saratoga Bridges, NYSARC
16 Saratoga Bridges Blvd
Ballston Spa, NY 12020-6236
info@saratogabridges.org
(518) 587-0723"
Schenectady ARC,New York,Schenectady,Schenectady,"Schenectady ARC
PO Box 2236
Schenectady, NY 12301-2236
info@arcschenectady.org
(518) 372-1160"
Schoharie ARC,New York,Schoharie,Schoharie,"Schoharie ARC
PO Box 307
Schoharie, NY 12157-0307
info@schohariearc.org
(518) 295-8120"
Seneca Cayuga Arc,New York,Waterloo,Seneca,"Seneca Cayuga Arc
1083 Waterloo Geneva Rd
Waterloo, NY 13165-1202
ksinicrope@sencayarc.org
(315) 539-5067"
St. Lawrence Arc,New York,Canton,St. Lawrence,"St. Lawrence Arc
6 Commerce Ln
Canton, NY 13617-3738
info@slnysarc.org
(315) 379-9531"
Suffolk AHRC,New York,Bohemia,Suffolk,"Suffolk AHRC
2900 Veterans Memorial Hwy
Bohemia, NY 11716-1022
wjleonardi@suffahrc.org
(631) 585-0100"
Sullivan Arc,New York,Monticello,Sullivan,"Sullivan Arc
162 E Broadway
Monticello, NY 12701-8815
aruef@sullivanarc.org
(845) 796-1350"
Summit Eduational Resources,New York,Getzville,Erie,"Summit Eduational Resources
150 Stahl Rd.
Getzville, NY 14068
Fax: 716.629.3499"
The ARC of Chenango,New York,Norwich,Chenango,"The ARC of Chenango
17 Midland Dr
Norwich, NY 13815-1914
(607) 334-5366"
The Arc of Delaware County,New York,Walton,Delaware,"The Arc of Delaware County
34570 State Highway 10 Ste 1
Walton, NY 13856-4142
delarc@delarc.org
(607) 865-7126"
The ARC of Livingston-Wyoming Counties,New York,Mount Morris,Livingston,"The ARC of Livingston-Wyoming Counties
18 Main St
Mount Morris, NY 14510-1036
jthomas@lwarc.org
(585) 658-2828"
The Arc of Monroe County,New York,Rochester,Monroe,"The Arc of Monroe County
2060 Brighton Henrietta Town Line Rd
Rochester, NY 14623-2792
info@arcmonroe.org
(585) 672-2200"
The Arc of Oneida-Lewis,New York,Utica,Oneida,"The Arc of Oneida-Lewis
245 Genesee St
Utica, NY 13501-3401
kkorotzer@thearcolc.org
(315) 735-6477"
The Arc of Onondaga,New York,Syracuse,Onondaga,"The Arc of Onondaga
600 S Wilbur Ave
Syracuse, NY 13204-2730
info@arcon.org
(315) 476-7441 Ext 144"
The Arc of Orleans County,New York,Albion,Orleans,"The Arc of Orleans County
PO Box 439
Albion, NY 14411-0439
kspychalski@arcoforleans.org
(585) 589-5516"
The Arc of Rensselaer County,New York,Troy,Rensselaer,"The Arc of Rensselaer County
79 102nd St
Troy, NY 12180-1125
info@renarc.org
(518) 274-3110"
The Arc of Rockland,New York,Congers,Rockland,"The Arc of Rockland
25 Hemlock Dr
Congers, NY 10920-1401
agotlieb@arcofrockland.org
(845) 267-2500"
The Arc of Steuben,New York,Bath,Steuben,"The Arc of Steuben
1 Arc Way
Bath, NY 14810-8341
arcofsteuben@arcofsteuben.org
(607) 776-4146"
The Arc Otsego,New York,Oneonta,Otsego,"The Arc Otsego
PO Box 490
Oneonta, NY 13820-0490
info@arcotsego.org
(607) 432-8595"
The Resource Center – Chautauqua,New York,Jamestown,Chautauqua,"The Resource Center – Chautauqua
200 Dunham Ave
Jamestown, NY 14701-2528
steve.waterson@resourcecenter.org
(716) 483-2344"
Ulster-Greene Arc,New York,Kingston,Ulster,"Ulster-Greene Arc
471 Albany Ave
Kingston, NY 12401-2138
info@ugarc.org
(845) 331-4300"
Warren & Washington ARC,New York,Queensbury,Warren,"Warren & Washington ARC
436 Quaker Road
Queensbury, NY 12804
jvonahn@wwarc.org
(518) 793-4204"
Wayne ARC,New York,Palmyra,Wayne,"Wayne ARC
246 Cuyler St
Palmyra, NY 14522-1404
valerie.curtis@waynearc.org
(315) 331-7741"
Welfare League (Letchworth Village Developmental Center) Arc,New York,Thiells,Rockland,"Welfare League (Letchworth Village Developmental Center) Arc
PO Box 385
Thiells, NY 10984-0385
(845) 947-6403"
West Seneca Development Center Arc,New York,West Seneca,Erie,"West Seneca Development Center Arc
1200 E and West Rd
West Seneca, NY 14224-3604
(716) 674-6300"
Westchester Arc,New York,Hawthorne,Westchester,"Westchester Arc
265 Saw Mill River Rd
Hawthorne, NY 10532-1509
info@westchesterarc.org
(914) 949-9300"
Arc Cherokee-Clay,North Carolina,Murphy,Cherokee,"Arc Cherokee-Clay
PO Box 156
Murphy, NC 28906-0156
arcofcc@gmail.com
(828) 837-7874"
Autism Society of North Carolina,North Carolina,Raleigh,Wake,800-442-2762
Autism Speaks of North Carolina,North Carolina,Charlotte,Mecklenburg,By Website
Easter Seals of North Carolina,North Carolina,North Carolina,N/A,By Website
Harnett County Arc,North Carolina,Willow Spring,Harnett,"Harnett County Arc
115 White Oak Farms Dr
c/o Pam Miller, Treasurer
Willow Spring, NC 27592-8533
harnettarc@yahoo.com
(910) 893-2578"
Monarch,North Carolina,Albemarle,Stanly,"Monarch
350 Pee Dee Ave
Albemarle, NC 28001-4932
info@monarchnc.org
(704) 986-1519"
North Carolina – TEACCH,North Carolina,Chapel Hill,Orange,By Website
